Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate,Cutoff,Olevel_Valid,olevel_avg_points,admitted_numeric
Clinical Sciences,Medicine and Surgery,300,12,65.1,80.8,1,3.12,1
Dental Sciences,Dentistry,176,23,58.6,77.4,1,2.72,0
Engineering,Chemical & Petroleum Engineering,266,14,61.25,50.0,1,2.8,2
Arts,French,216,5,45.6,66.55,1,2.72,0
Pharmacy,Pharmacy,374,22,82.35,76.125,1,2.72,2
Clinical Sciences,Medicine and Surgery,166,8,41.95,80.8,1,2.64,0
Environmental Sciences,Urban & Regional Planning,211,11,52.98,50.0,1,3.12,0
Education,Health Education,270,14,64.55,50.0,1,3.36,2
Basic Medical Sciences,Physiology,217,10,52.73,71.55,1,3.12,0
Social Sciences,Political Science,342,2,59.15,68.6,1,2.88,0
Education,Educational Foundations,158,23,53.55,50.0,1,2.16,0
Education,Educational Foundations,373,2,63.83,50.0,1,3.04,0
Dental Sciences,Dentistry,290,28,79.45,77.4,1,3.04,2
Social Sciences,Geography,285,12,62.83,50.0,1,3.04,2
Law,Law,208,6,45.6,68.65,1,2.72,0
Environmental Sciences,Architecture,275,21,67.38,50.0,1,2.4,2
Arts,Chinese,178,26,64.25,66.7,1,3.2,0
Management Sciences,Business Administration,168,21,58.0,68.65,1,3.2,0
Dental Sciences,Dentistry,240,27,72.2,77.4,1,3.04,1
Management Sciences,Actuarial Science,283,2,48.98,61.875,1,2.32,0
Arts,English,376,15,76.0,68.175,1,2.8,2
Dental Sciences,Dentistry,374,5,66.95,77.4,1,3.04,0
Education,Education Economics,313,10,66.72,50.0,1,3.52,0
Science,Statistics,269,24,72.42,50.0,1,2.96,2
Basic Medical Sciences,Physiology,247,2,50.48,71.55,1,3.52,0
Basic Medical Sciences,Pharmacology,157,5,43.83,72.625,1,3.84,0
Pharmacy,Pharmacy,397,4,67.62,76.125,1,2.8,0
Science,Geophysics,340,22,80.9,50.0,1,3.28,2
Science,Microbiology,272,15,65.8,50.0,1,3.36,2
Dental Sciences,Dentistry,305,2,55.73,77.4,1,3.12,0
Education,Education French,177,10,47.73,50.0,1,3.12,0
Science,Geophysics,398,24,89.35,50.0,1,3.12,2
Law,Law,391,18,84.08,68.65,1,3.44,2
Basic Medical Sciences,Pharmacology,152,20,55.0,72.625,1,3.2,0
Engineering,Systems Engineering,150,15,48.55,50.0,1,2.96,0
Education,Educational Administration,347,9,67.17,50.0,1,2.96,0
Pharmacy,Pharmacy,327,16,72.88,76.125,1,3.2,1
Pharmacy,Pharmacy,348,0,56.3,76.125,1,2.56,0
Education,Education Chemistry,373,29,93.62,50.0,1,3.6,2
Pharmacy,Pharmacy,299,1,51.58,76.125,1,2.64,0
Clinical Sciences,Nursing,206,17,59.55,70.875,1,3.36,1
Education,Education Christian Religious Studies,153,18,51.12,50.0,1,2.8,0
Science,Zoology,303,7,60.08,50.0,1,3.04,0
Science,Geology,160,19,56.2,50.0,1,3.44,0
Dental Sciences,Dentistry,249,21,68.12,77.4,1,3.2,1
Pharmacy,Pharmacy,336,21,78.6,76.125,1,3.12,2
Engineering,Biomedical Engineering,346,26,84.45,50.0,1,3.04,2
Education,Education History,166,30,66.75,50.0,1,3.2,0
Education,Educational Administration,328,10,64.2,50.0,1,2.64,0
Clinical Sciences,Nursing,153,14,47.12,70.875,1,2.8,0
Management Sciences,Accounting,392,10,74.6,74.1,1,3.12,0
Clinical Sciences,Radiography,344,18,74.6,72.525,1,2.72,2
Dental Sciences,Dentistry,228,25,66.7,77.4,1,2.64,1
Law,Law,198,20,58.35,68.65,1,2.72,0
Pharmacy,Pharmacy,360,4,65.4,76.125,1,3.28,0
Pharmacy,Pharmacy,307,14,67.58,76.125,1,3.04,1
Basic Medical Sciences,Medical Laboratory Science,338,18,73.45,74.675,1,2.64,1
Social Sciences,Psychology,347,6,63.38,67.4,1,2.8,0
Basic Medical Sciences,Physiology,215,1,44.27,71.55,1,3.28,0
Basic Medical Sciences,Physiology,162,6,40.65,71.55,1,2.88,0
Environmental Sciences,Estate Management,396,15,79.7,50.0,1,3.04,2
Social Sciences,Political Science,219,7,49.58,68.6,1,3.04,0
Basic Medical Sciences,Medical Laboratory Science,398,27,92.35,74.675,1,3.12,2
Management Sciences,Insurance,220,22,63.5,67.125,1,2.8,1
Law,Law,279,21,71.08,68.65,1,3.04,2
Environmental Sciences,Architecture,198,5,46.15,50.0,1,3.28,0
Clinical Sciences,Nursing,250,5,50.25,70.875,1,2.8,0
Clinical Sciences,Radiography,300,2,55.9,72.525,1,3.28,0
Clinical Sciences,Radiography,161,30,65.33,72.525,1,3.04,0
Science,Botany,234,6,52.05,50.0,1,3.36,0
Social Sciences,Sociology,202,18,57.25,66.15,1,2.8,1
Social Sciences,Political Science,295,29,80.28,68.6,1,2.88,2
Engineering,Civil & Environmental Engineering,346,7,63.85,50.0,1,2.72,0
Science,Zoology,279,11,61.48,50.0,1,3.12,0
Arts,Linguistic Igbo/Yoruba,349,11,67.83,61.175,1,2.64,0
Environmental Sciences,Architecture,196,3,43.9,50.0,1,3.28,0
Basic Medical Sciences,Pharmacology,362,4,66.85,72.625,1,3.52,0
Environmental Sciences,Quantity Surveying,288,26,77.6,50.0,1,3.12,2
Education,Education Igbo,194,8,48.25,50.0,1,3.2,0
Science,Geophysics,227,29,72.17,50.0,1,2.96,2
Basic Medical Sciences,Physiology,282,24,75.65,71.55,1,3.28,2
Clinical Sciences,Radiography,144,2,35.2,72.525,1,3.04,0
Clinical Sciences,Nursing,255,22,67.08,70.875,1,2.64,1
Law,Law,307,20,75.17,68.65,1,3.36,2
Management Sciences,Finance,235,7,53.98,68.9,1,3.52,0
Management Sciences,Accounting,244,29,75.1,74.1,1,3.12,2
Clinical Sciences,Medicine and Surgery,267,13,61.58,80.8,1,3.04,1
Science,Botany,299,11,64.38,50.0,1,3.2,0
Environmental Sciences,Architecture,234,3,49.45,50.0,1,3.44,0
Arts,Russian,384,21,83.8,67.65,1,2.96,2
Dental Sciences,Dentistry,157,3,36.23,77.4,1,2.72,0
Environmental Sciences,Estate Management,315,26,79.38,50.0,1,2.8,2
Management Sciences,Business Administration,273,20,66.92,68.65,1,2.56,1
Social Sciences,Economics,198,14,55.55,69.95,1,3.36,0
Dental Sciences,Dentistry,266,1,52.65,77.4,1,3.68,0
Law,Law,231,29,73.08,68.65,1,3.04,2
Social Sciences,Geography,289,7,56.33,50.0,1,2.64,0
Science,Zoology,361,22,80.72,50.0,1,2.72,2
Clinical Sciences,Medicine and Surgery,254,1,49.95,80.8,1,3.44,0
Basic Medical Sciences,Physiology,183,29,67.88,71.55,1,3.2,0
Law,Law,221,0,42.42,68.65,1,2.96,0
Engineering,Metallurgical & Material Engineering,323,2,56.77,50.0,1,2.88,0
Dental Sciences,Dentistry,278,20,69.15,77.4,1,2.88,1
Dental Sciences,Dentistry,184,29,67.2,77.4,1,3.04,0
Management Sciences,Business Administration,352,7,65.8,68.65,1,2.96,0
Science,Geophysics,285,22,74.03,50.0,1,3.28,2
Arts,English,366,30,87.75,68.175,1,2.4,2
Clinical Sciences,Radiography,157,23,58.62,72.525,1,3.2,0
Pharmacy,Pharmacy,190,17,56.75,76.125,1,3.2,0
Science,Industrial Mathematics,235,23,69.97,50.0,1,3.52,2
Law,Law,381,13,75.42,68.65,1,2.96,2
Science,Marine Biology,339,14,69.97,50.0,1,2.72,2
Engineering,Civil & Environmental Engineering,143,3,36.88,50.0,1,3.2,0
Science,Geology,170,3,39.45,50.0,1,3.04,0
Environmental Sciences,Estate Management,270,5,53.15,50.0,1,2.88,0
Dental Sciences,Dentistry,343,14,73.28,77.4,1,3.28,1
Social Sciences,Social Work,387,15,78.97,50.0,1,3.12,2
Basic Medical Sciences,Physiology,259,6,50.77,71.55,1,2.48,0
Environmental Sciences,Quantity Surveying,191,11,51.27,50.0,1,3.28,0
Arts,Russian,314,18,73.25,67.65,1,3.2,2
Science,Mathematics,265,4,53.92,50.0,1,3.36,0
Science,Microbiology,265,7,52.92,50.0,1,2.56,0
Science,Marine Biology,172,3,37.3,50.0,1,2.56,0
Management Sciences,Insurance,379,25,87.17,67.125,1,2.96,2
Engineering,Surveying & Geoinformatics Engineering,199,23,63.08,50.0,1,3.04,0
Dental Sciences,Dentistry,145,0,33.33,77.4,1,3.04,0
Management Sciences,IRPM,398,14,80.15,50.0,1,3.28,2
Dental Sciences,Dentistry,208,24,66.0,77.4,1,3.2,1
Engineering,Computer Engineering,207,25,64.47,50.0,1,2.72,2
Pharmacy,Pharmacy,376,10,71.0,76.125,1,2.8,0
Arts,Philosophy,264,23,72.4,67.4,1,3.28,2
Social Sciences,Economics,320,18,72.8,69.95,1,2.96,2
Engineering,Chemical & Petroleum Engineering,233,17,60.52,50.0,1,2.88,2
Law,Law,188,13,51.3,68.65,1,2.96,0
Basic Medical Sciences,Medical Laboratory Science,143,23,58.08,74.675,1,3.44,0
Arts,Linguistic Igbo/Yoruba,383,18,81.08,61.175,1,3.04,2
Dental Sciences,Dentistry,362,18,76.45,77.4,1,2.64,1
Environmental Sciences,Architecture,279,27,76.28,50.0,1,2.88,2
Social Sciences,Sociology,268,24,73.5,66.15,1,3.2,2
Clinical Sciences,Nursing,227,18,63.98,70.875,1,3.52,1
Law,Law,254,18,62.55,68.65,1,2.56,1
Science,Statistics,222,29,73.15,50.0,1,3.28,2
Law,Law,212,4,46.9,68.65,1,3.28,0
Environmental Sciences,Estate Management,374,10,72.35,50.0,1,3.12,0
Basic Medical Sciences,Medical Laboratory Science,159,12,48.67,74.675,1,3.36,0
Science,Computer Science,393,24,88.33,71.75,1,3.04,2
Education,Business Education,196,24,65.7,50.0,1,3.44,0
Clinical Sciences,Physiotherapy,211,9,49.38,73.75,1,2.8,0
Education,Education Islamic Religious Studies,361,13,73.72,50.0,1,3.12,2
Clinical Sciences,Physiotherapy,318,27,81.95,73.75,1,3.04,2
Dental Sciences,Dentistry,308,23,76.7,77.4,1,3.04,1
Management Sciences,Finance,268,15,62.9,68.9,1,2.88,1
Education,Technology Education,245,13,60.02,50.0,1,3.28,2
Law,Law,307,3,54.98,68.65,1,2.72,0
Science,Mathematics,182,29,68.95,50.0,1,3.44,0
Education,Education Christian Religious Studies,150,20,53.95,50.0,1,3.04,0
Education,Business Education,316,27,78.9,50.0,1,2.48,2
Arts,Linguistic Igbo/Yoruba,335,4,57.88,61.175,1,2.4,0
Environmental Sciences,Quantity Surveying,308,16,69.7,50.0,1,3.04,2
Science,Physics,282,13,61.05,50.0,1,2.56,2
Engineering,Biomedical Engineering,367,16,75.08,50.0,1,2.64,2
Education,Business Education,278,21,71.35,50.0,1,3.12,2
Science,Physics,371,13,71.78,50.0,1,2.48,2
Environmental Sciences,Building,328,27,84.4,50.0,1,3.28,2
Environmental Sciences,Urban & Regional Planning,332,6,65.5,50.0,1,3.6,0
Dental Sciences,Dentistry,388,8,72.1,77.4,1,3.12,0
Law,Law,276,8,60.5,68.65,1,3.6,0
Engineering,Computer Engineering,256,26,73.6,50.0,1,3.12,2
Management Sciences,IRPM,329,26,81.92,50.0,1,2.96,2
Dental Sciences,Dentistry,296,16,67.8,77.4,1,2.96,1
Social Sciences,Geography,161,6,42.12,50.0,1,3.2,0
Science,Microbiology,379,18,79.38,50.0,1,2.8,2
Science,Marine Biology,305,12,62.92,50.0,1,2.56,2
Engineering,Civil & Environmental Engineering,273,28,76.92,50.0,1,2.96,2
Law,Law,399,30,91.88,68.65,1,2.4,2
Clinical Sciences,Radiography,140,14,45.1,72.525,1,2.72,0
Management Sciences,Accounting,398,4,70.95,74.1,1,3.44,0
Basic Medical Sciences,Pharmacology,369,3,63.12,72.625,1,2.8,0
Dental Sciences,Dentistry,190,9,48.75,77.4,1,3.2,0
Social Sciences,Political Science,256,25,71.8,68.6,1,2.96,2
Law,Law,366,21,82.75,68.65,1,3.2,2
Basic Medical Sciences,Pharmacology,160,6,40.4,72.625,1,2.88,0
Law,Law,274,11,59.25,68.65,1,2.8,0
Engineering,Metallurgical & Material Engineering,238,10,52.55,50.0,1,2.56,0
Dental Sciences,Dentistry,219,0,41.77,77.4,1,2.88,0
Law,Law,168,22,57.8,68.65,1,2.96,0
Engineering,Computer Engineering,193,6,44.52,50.0,1,2.88,0
Environmental Sciences,Estate Management,259,8,55.98,50.0,1,3.12,0
Clinical Sciences,Physiotherapy,323,12,69.58,73.75,1,3.44,1
Pharmacy,Pharmacy,195,27,65.78,76.125,1,2.88,0
Clinical Sciences,Medicine and Surgery,241,18,64.53,80.8,1,3.28,1
Clinical Sciences,Nursing,376,10,69.4,70.875,1,2.48,0
Science,Fisheries,373,10,73.83,50.0,1,3.44,0
Pharmacy,Pharmacy,284,27,78.9,76.125,1,3.28,2
Engineering,Computer Engineering,257,9,55.12,50.0,1,2.8,0
Engineering,Surveying & Geoinformatics Engineering,234,3,47.45,50.0,1,3.04,0
Clinical Sciences,Nursing,324,17,69.5,70.875,1,2.4,1
Arts,Linguistic Igbo/Yoruba,255,14,60.67,61.175,1,2.96,1
Law,Law,295,3,52.67,68.65,1,2.56,0
Social Sciences,Mass Communication,314,22,74.05,72.35,1,2.56,2
Dental Sciences,Dentistry,334,20,78.15,77.4,1,3.28,2
Environmental Sciences,Building,395,16,80.17,50.0,1,2.96,2
Education,Technology Education,271,11,58.48,50.0,1,2.72,0
Clinical Sciences,Medicine and Surgery,368,28,89.6,80.8,1,3.12,2
Science,Botany,169,20,57.12,50.0,1,3.2,0
Basic Medical Sciences,Medical Laboratory Science,219,11,50.38,74.675,1,2.4,0
Clinical Sciences,Nursing,250,14,58.45,70.875,1,2.64,1
Law,Law,312,16,72.2,68.65,1,3.44,2
Environmental Sciences,Building,218,14,59.65,50.0,1,3.68,2
Engineering,Metallurgical & Material Engineering,233,30,76.33,50.0,1,3.44,2
Dental Sciences,Dentistry,172,27,61.7,77.4,1,2.64,0
Pharmacy,Pharmacy,246,6,49.15,76.125,1,2.48,0
Education,Education Igbo,252,3,48.9,50.0,1,2.88,0
Education,Technology Education,352,0,59.2,50.0,1,3.04,0
Arts,French,310,27,80.15,66.55,1,2.88,2
Science,Fisheries,363,19,78.78,50.0,1,2.88,2
Dental Sciences,Dentistry,250,19,63.45,77.4,1,2.64,1
Law,Law,184,4,44.2,68.65,1,3.44,0
Management Sciences,Insurance,296,1,52.4,67.125,1,2.88,0
Management Sciences,Accounting,391,23,88.67,74.1,1,3.36,2
Management Sciences,IRPM,307,15,66.17,50.0,1,2.56,2
Arts,Chinese,183,20,58.88,66.7,1,3.2,0
Pharmacy,Pharmacy,298,15,66.25,76.125,1,2.8,1
Clinical Sciences,Medicine and Surgery,213,11,52.42,80.8,1,2.96,0
Dental Sciences,Dentistry,149,25,60.02,77.4,1,3.28,0
Clinical Sciences,Nursing,382,7,69.95,70.875,1,3.04,0
Social Sciences,Sociology,366,22,82.95,66.15,1,3.04,2
Science,Geology,250,6,55.25,50.0,1,3.6,0
Education,Technology Education,241,12,55.73,50.0,1,2.72,2
Education,Education Geography,372,20,82.1,50.0,1,3.12,2
Pharmacy,Pharmacy,344,2,60.6,76.125,1,3.12,0
Environmental Sciences,Estate Management,372,2,63.3,50.0,1,2.96,0
Clinical Sciences,Nursing,192,16,54.4,70.875,1,2.88,0
Education,Early Childhood Education,380,18,77.1,50.0,1,2.32,2
Environmental Sciences,Architecture,307,26,78.38,50.0,1,2.8,2
Management Sciences,Accounting,357,12,73.03,74.1,1,3.28,1
Management Sciences,Accounting,229,22,67.42,74.1,1,3.36,1
Science,Cell Biology & Genetics,398,15,80.75,50.0,1,3.2,2
Engineering,Civil & Environmental Engineering,194,0,42.25,50.0,1,3.6,0
Basic Medical Sciences,Pharmacology,167,23,59.48,72.625,1,3.12,0
Pharmacy,Pharmacy,387,6,68.78,76.125,1,2.88,0
Arts,History & Strategic Studies,353,26,83.72,68.6,1,2.72,2
Social Sciences,Psychology,330,17,73.45,67.4,1,3.04,2
Dental Sciences,Dentistry,371,18,81.97,77.4,1,3.52,2
Environmental Sciences,Building,325,1,58.02,50.0,1,3.28,0
Engineering,Electrical & Electronics Engineering,250,24,71.25,50.0,1,3.2,2
Basic Medical Sciences,Medical Laboratory Science,267,16,64.97,74.675,1,3.12,1
Social Sciences,Geography,385,9,70.33,50.0,1,2.64,0
Law,Law,316,3,59.3,68.65,1,3.36,0
Pharmacy,Pharmacy,281,1,49.33,76.125,1,2.64,0
Social Sciences,Economics,290,0,51.05,69.95,1,2.96,0
Basic Medical Sciences,Physiology,240,22,68.8,71.55,1,3.36,1
Engineering,Biomedical Engineering,343,9,67.08,50.0,1,3.04,0
Science,Computer Science,359,23,85.08,71.75,1,3.44,2
Science,Industrial Mathematics,350,21,80.75,50.0,1,3.2,2
Education,Adult Education,280,7,56.4,50.0,1,2.88,0
Education,Education Islamic Religious Studies,287,9,60.88,50.0,1,3.2,0
Environmental Sciences,Estate Management,163,18,53.98,50.0,1,3.12,0
Dental Sciences,Dentistry,253,29,76.22,77.4,1,3.12,1
Pharmacy,Pharmacy,188,15,54.1,76.125,1,3.12,0
Science,Geology,349,26,84.03,50.0,1,2.88,2
Dental Sciences,Dentistry,208,2,42.4,77.4,1,2.88,0
Dental Sciences,Dentistry,364,29,86.9,77.4,1,2.48,2
Arts,Linguistic Igbo/Yoruba,215,20,61.67,61.175,1,2.96,2
Management Sciences,Insurance,304,30,82.0,67.125,1,2.8,2
Basic Medical Sciences,Medical Laboratory Science,389,30,91.83,74.675,1,2.64,2
Pharmacy,Pharmacy,171,26,61.77,76.125,1,2.88,0
Pharmacy,Pharmacy,334,2,58.15,76.125,1,2.88,0
Law,Law,255,21,68.08,68.65,1,3.04,1
Clinical Sciences,Nursing,230,28,73.55,70.875,1,3.36,2
Education,Education Chemistry,300,9,58.1,50.0,1,2.32,0
Law,Law,261,22,69.42,68.65,1,2.96,2
Basic Medical Sciences,Pharmacology,237,11,57.02,72.625,1,3.28,0
Law,Law,253,29,73.42,68.65,1,2.56,2
Science,Marine Biology,301,9,60.62,50.0,1,2.8,0
Management Sciences,Actuarial Science,305,23,74.72,61.875,1,2.72,2
Pharmacy,Pharmacy,375,12,73.67,76.125,1,2.96,1
Science,Mathematics,372,10,74.1,50.0,1,3.52,0
Management Sciences,IRPM,270,18,64.95,50.0,1,2.64,2
Law,Law,296,1,54.0,68.65,1,3.2,0
Social Sciences,Political Science,199,4,41.67,68.6,1,2.56,0
Science,Botany,214,26,69.15,50.0,1,3.28,2
Management Sciences,Finance,386,3,68.45,68.9,1,3.44,0
Basic Medical Sciences,Physiology,184,3,44.0,71.55,1,3.6,0
Clinical Sciences,Medicine and Surgery,150,3,39.75,80.8,1,3.6,0
Pharmacy,Pharmacy,376,3,66.8,76.125,1,3.36,0
Education,Human Kinetics Education,344,12,70.2,50.0,1,3.04,2
Education,Educational Administration,367,19,82.08,50.0,1,3.44,2
Clinical Sciences,Radiography,358,24,81.15,72.525,1,2.48,2
Engineering,Chemical & Petroleum Engineering,249,29,73.72,50.0,1,2.72,2
Clinical Sciences,Medicine and Surgery,178,0,39.45,80.8,1,3.44,0
Social Sciences,Social Work,326,17,72.95,50.0,1,3.04,2
Science,Marine Biology,187,7,47.17,50.0,1,3.36,0
Pharmacy,Pharmacy,284,24,74.3,76.125,1,2.96,1
Law,Law,191,19,59.67,68.65,1,3.36,0
Law,Law,347,30,91.38,68.65,1,3.6,2
Science,Physics,348,24,81.5,50.0,1,2.8,2
Environmental Sciences,Quantity Surveying,341,28,85.42,50.0,1,2.96,2
Arts,Chinese,312,29,84.0,66.7,1,3.2,2
Social Sciences,Psychology,168,28,65.4,67.4,1,3.28,0
Clinical Sciences,Physiotherapy,229,25,68.83,73.75,1,3.04,1
Environmental Sciences,Estate Management,253,12,58.42,50.0,1,2.96,2
Basic Medical Sciences,Medical Laboratory Science,346,3,65.05,74.675,1,3.76,0
Basic Medical Sciences,Physiology,396,18,79.5,71.55,1,2.4,2
Engineering,Surveying & Geoinformatics Engineering,329,25,81.72,50.0,1,3.12,2
Law,Law,316,25,80.5,68.65,1,3.2,2
Environmental Sciences,Building,291,11,64.58,50.0,1,3.44,0
Law,Law,345,0,58.33,68.65,1,3.04,0
Science,Zoology,248,20,65.4,50.0,1,2.88,2
Pharmacy,Pharmacy,250,3,49.45,76.125,1,3.04,0
Environmental Sciences,Building,363,20,82.58,50.0,1,3.44,2
Dental Sciences,Dentistry,178,4,42.25,77.4,1,3.2,0
Science,Statistics,228,6,48.5,50.0,1,2.8,0
Education,Early Childhood Education,279,1,51.08,50.0,1,3.04,0
Arts,French,279,14,66.88,66.55,1,3.6,2
Law,Law,362,0,61.25,68.65,1,3.2,0
Environmental Sciences,Urban & Regional Planning,269,18,66.83,50.0,1,3.04,2
Environmental Sciences,Estate Management,369,11,71.12,50.0,1,2.8,0
Law,Law,259,29,74.58,68.65,1,2.64,2
Management Sciences,Business Administration,334,25,82.75,68.65,1,3.2,2
Science,Fisheries,322,1,52.85,50.0,1,2.32,0
Arts,History & Strategic Studies,228,26,68.5,68.6,1,2.8,1
Environmental Sciences,Urban & Regional Planning,335,10,64.67,50.0,1,2.56,0
Environmental Sciences,Architecture,226,8,51.85,50.0,1,3.12,0
Law,Law,189,20,58.42,68.65,1,2.96,0
Engineering,Metallurgical & Material Engineering,272,26,76.0,50.0,1,3.2,2
Pharmacy,Pharmacy,185,18,53.52,76.125,1,2.48,0
Engineering,Biomedical Engineering,169,0,37.52,50.0,1,3.28,0
Law,Law,391,28,91.67,68.65,1,2.96,2
Law,Law,214,10,50.75,68.65,1,2.8,0
Education,Education Islamic Religious Studies,143,6,38.27,50.0,1,2.88,0
Law,Law,265,6,53.52,68.65,1,2.88,0
Pharmacy,Pharmacy,357,1,61.62,76.125,1,3.2,0
Education,Human Kinetics Education,321,0,57.33,50.0,1,3.44,0
Arts,French,266,6,54.05,66.55,1,2.96,0
Arts,Philosophy,314,20,74.85,67.4,1,3.12,2
Basic Medical Sciences,Physiology,190,20,58.15,71.55,1,2.88,0
Environmental Sciences,Estate Management,193,21,61.92,50.0,1,3.36,0
Education,Education Christian Religious Studies,374,6,68.75,50.0,1,3.2,0
Social Sciences,Social Work,400,2,66.8,50.0,1,2.96,0
Dental Sciences,Dentistry,306,4,56.65,77.4,1,2.88,0
Environmental Sciences,Quantity Surveying,330,4,60.45,50.0,1,3.04,0
Social Sciences,Social Work,162,14,50.65,50.0,1,3.28,0
Dental Sciences,Dentistry,308,20,74.9,77.4,1,3.28,1
Social Sciences,Social Work,267,12,58.98,50.0,1,2.72,2
Law,Law,359,3,61.88,68.65,1,2.8,0
Law,Law,161,29,65.92,68.65,1,3.36,0
Management Sciences,Business Administration,241,12,56.12,68.65,1,2.8,1
Management Sciences,Business Administration,254,3,52.35,68.65,1,3.52,0
Law,Law,363,4,61.77,68.65,1,2.48,0
Basic Medical Sciences,Physiology,254,25,71.55,71.55,1,2.96,2
Engineering,Electrical & Electronics Engineering,150,28,60.75,50.0,1,2.8,0
Environmental Sciences,Urban & Regional Planning,160,12,46.4,50.0,1,2.88,0
Clinical Sciences,Physiotherapy,159,14,47.88,73.75,1,2.8,0
Dental Sciences,Dentistry,334,8,68.95,77.4,1,3.84,0
Management Sciences,Business Administration,204,17,57.7,68.65,1,3.04,1
Clinical Sciences,Physiotherapy,340,16,72.1,73.75,1,2.72,1
Law,Law,285,30,79.62,68.65,1,2.8,2
Basic Medical Sciences,Medical Laboratory Science,291,3,52.17,74.675,1,2.56,0
Clinical Sciences,Physiotherapy,286,14,64.15,73.75,1,2.88,1
Basic Medical Sciences,Medical Laboratory Science,387,22,82.38,74.675,1,2.4,2
Education,Educational Foundations,168,28,63.0,50.0,1,2.8,0
Pharmacy,Pharmacy,244,30,77.3,76.125,1,3.36,2
Environmental Sciences,Urban & Regional Planning,267,0,47.77,50.0,1,2.88,0
Environmental Sciences,Architecture,270,7,58.75,50.0,1,3.6,0
Management Sciences,Insurance,356,26,85.7,67.125,1,3.04,2
Science,Geology,215,29,68.28,50.0,1,2.48,2
Basic Medical Sciences,Medical Laboratory Science,296,22,73.4,74.675,1,2.88,1
Environmental Sciences,Architecture,160,24,61.2,50.0,1,3.44,0
Social Sciences,Political Science,255,18,65.88,68.6,1,3.2,1
Arts,French,385,8,72.53,66.55,1,3.28,0
Education,Education History,297,20,73.12,50.0,1,3.2,2
Clinical Sciences,Physiotherapy,242,10,54.25,73.75,1,2.8,0
Pharmacy,Pharmacy,315,25,79.17,76.125,1,2.96,2
Social Sciences,Geography,353,6,64.53,50.0,1,2.88,0
Science,Botany,295,18,68.47,50.0,1,2.72,2
Law,Law,330,15,73.85,68.65,1,3.52,2
Law,Law,285,10,59.62,68.65,1,2.8,0
Environmental Sciences,Urban & Regional Planning,283,19,69.17,50.0,1,2.96,2
Law,Law,303,18,71.47,68.65,1,3.12,2
Law,Law,277,17,66.42,68.65,1,2.96,1
Management Sciences,Business Administration,188,26,64.3,68.65,1,2.96,0
Pharmacy,Pharmacy,309,30,84.22,76.125,1,3.12,2
Management Sciences,Finance,361,12,72.33,68.9,1,3.04,2
Environmental Sciences,Urban & Regional Planning,306,0,56.65,50.0,1,3.68,0
Engineering,Systems Engineering,166,22,59.95,50.0,1,3.44,0
Engineering,Systems Engineering,328,26,81.0,50.0,1,2.8,2
Environmental Sciences,Urban & Regional Planning,182,11,48.15,50.0,1,2.88,0
Management Sciences,Insurance,240,19,61.8,67.125,1,2.56,1
Basic Medical Sciences,Medical Laboratory Science,215,23,63.88,74.675,1,2.8,1
Clinical Sciences,Nursing,344,26,83.8,70.875,1,2.96,2
Science,Industrial Mathematics,229,29,72.83,50.0,1,3.04,2
Education,Education Islamic Religious Studies,155,22,57.77,50.0,1,3.28,0
Social Sciences,Geography,359,29,89.08,50.0,1,3.04,2
Science,Botany,380,5,68.5,50.0,1,3.2,0
Pharmacy,Pharmacy,337,8,67.33,76.125,1,3.44,0
Environmental Sciences,Architecture,323,29,85.38,50.0,1,3.2,2
Social Sciences,Economics,263,9,57.48,69.95,1,3.12,0
Environmental Sciences,Estate Management,252,7,51.7,50.0,1,2.64,0
Engineering,Electrical & Electronics Engineering,309,23,76.42,50.0,1,2.96,2
Social Sciences,Sociology,380,10,72.7,66.15,1,3.04,0
Basic Medical Sciences,Medical Laboratory Science,361,19,80.53,74.675,1,3.28,2
Law,Law,352,28,84.4,68.65,1,2.48,2
Clinical Sciences,Physiotherapy,150,16,48.35,73.75,1,2.72,0
Social Sciences,Economics,238,3,46.75,69.95,1,2.8,0
Science,Fisheries,325,11,64.83,50.0,1,2.64,0
Dental Sciences,Dentistry,220,1,42.1,77.4,1,2.72,0
Dental Sciences,Dentistry,174,18,54.55,77.4,1,2.96,0
Education,Education Yoruba,357,1,61.23,50.0,1,3.12,0
Law,Law,377,30,89.92,68.65,1,2.56,2
Arts,English,310,29,82.15,68.175,1,2.88,2
Management Sciences,Business Administration,229,3,48.02,68.65,1,3.28,0
Environmental Sciences,Quantity Surveying,256,13,60.2,50.0,1,3.04,2
Management Sciences,Actuarial Science,202,7,45.85,61.875,1,2.72,0
Social Sciences,Economics,333,2,56.83,69.95,1,2.64,0
Social Sciences,Social Work,352,22,82.0,50.0,1,3.2,2
Social Sciences,Political Science,400,4,70.4,68.6,1,3.28,0
Law,Law,186,19,57.05,68.65,1,2.96,0
Clinical Sciences,Physiotherapy,185,29,67.72,73.75,1,3.12,0
Social Sciences,Social Work,375,12,74.47,50.0,1,3.12,2
Basic Medical Sciences,Physiology,279,2,50.88,71.55,1,2.8,0
Pharmacy,Pharmacy,400,8,72.8,76.125,1,2.96,0
Law,Law,343,11,67.88,68.65,1,2.8,0
Science,Chemistry,391,16,83.67,50.0,1,3.76,2
Law,Law,166,29,62.15,68.65,1,2.48,0
Science,Zoology,341,0,57.83,50.0,1,3.04,0
