Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Basic Medical Science,Anatomy,319,180,61.85,63.3,True,2,not admitted,"B2, C5, C5, C6, B3"
Law,Law,335,240,73.25,55.0,True,2,admitted,"A1, B3, C5, B2, A1"
Management Sciences,Business Administration,244,200,51.6,55.0,True,2,not admitted,"C6, C5, B2, B3, C4"
Engineering,Mechatronics Engineering,303,220,74.45,65.0,True,1,admitted,"B2, B2, B3, C6, B3"
Engineering,Mechanical Engineering,245,200,55.75,65.0,True,2,not admitted,"B2, B3, C6, B3, B2"
College of Medicine,Medicine and Surgery,318,260,75.7,55.0,True,1,admitted,"C6, B3, B3, B2, B3"
Engineering,Computer Engineering,244,200,61.6,64.3,True,1,not admitted,"B2, C4, B2, C6, C6"
College of Medicine,Medicine and Surgery,196,260,57.4,55.0,True,1,not admitted,"A1, C6, C5, A1, C4"
Basic Medical Science,Physiology,141,180,38.15,61.5,True,2,not admitted,"B2, B3, B2, C6, C5"
Law,Law,348,240,86.2,55.0,True,1,admitted,"B2, A1, B3, B3, B2"
Environmental Design and Management,Estate Management,244,160,59.6,57.5,True,1,admitted,"C6, C4, C4, C6, B2"
Basic Medical Science,Nursing Science,172,150,47.8,55.0,True,1,not admitted,"C4, C4, C6, C4, C5"
Arts,Theatre and Media Arts,155,200,40.25,65.8,True,2,not admitted,"B2, A1, C5, C4, C6"
Management Sciences,Accounting,229,200,56.35,55.0,True,2,admitted,"B3, B2, C4, B3, A1"
Pharmacy,Doctor of Pharmacy,333,240,68.95,55.0,True,2,admitted,"B2, B3, C4, C5, B2"
Arts,History and International Studies,180,180,51.0,67.8,True,1,not admitted,"B2, C6, C5, B2, C6"
Engineering,Mechatronics Engineering,249,220,56.35,65.0,True,2,not admitted,"A1, B3, C4, C5, B3"
Management Sciences,Public Administration,144,160,48.6,55.0,True,1,not admitted,"B2, C6, B3, B3, C4"
Management Sciences,Accounting,217,200,51.55,55.0,True,2,not admitted,"B2, B2, C6, C5, A1"
College of Medicine,Medicine and Surgery,292,260,72.8,55.0,True,1,admitted,"B2, B3, A1, C5, C5"
Education,Guidance and Counselling,224,150,57.6,59.05,True,2,not admitted,"B2, B2, B2, A1, C4"
Law,Law,176,240,40.4,55.0,True,2,not admitted,"C4, B3, C6, C4, C4"
Arts,History and International Studies,190,180,57.5,67.8,True,1,not admitted,"B2, B2, C4, B3, C5"
Engineering,Mechanical Engineering,315,200,73.25,65.0,True,1,admitted,"C6, C5, A1, C6, A1"
Social Sciences,Political Science,143,180,45.45,62.5,True,1,not admitted,"C6, C6, C4, B3, B2"
Pharmacy,Doctor of Pharmacy,325,240,65.75,55.0,True,2,admitted,"C4, B3, C4, A1, C6"
Basic Medical Science,Nursing Science,156,150,57.4,55.0,True,1,admitted,"A1, B2, A1, C5, B2"
Agriculture,Agricultural Economics and Extension,142,150,50.3,57.8,True,1,not admitted,"B2, C6, A1, C5, B2"
Science,Mathematics,303,150,62.45,55.5,True,2,admitted,"B3, C5, B3, C4, B3"
Pharmacy,Doctor of Pharmacy,218,240,54.7,55.0,True,1,not admitted,"B2, C5, C5, C5, C6"
Science,Biochemistry,284,180,70.6,63.75,True,1,admitted,"A1, B2, C5, C4, C5"
Management Sciences,Accounting,331,200,80.65,55.0,True,1,admitted,"C4, B3, C4, A1, B2"
Pharmacy,Doctor of Pharmacy,306,240,68.9,55.0,True,2,admitted,"B2, B2, C4, B3, A1"
Communications and Media Studies,Mass Communication,247,220,71.05,66.3,True,1,admitted,"A1, C4, B2, A1, B3"
Basic Medical Science,Physiology,191,180,54.65,61.5,True,1,not admitted,"C5, A1, C5, C6, B2"
Science,Geology,176,150,46.4,59.5,True,2,not admitted,"A1, A1, B3, C5, C5"
Communications and Media Studies,Journalism,303,150,73.45,64.0,True,1,admitted,"A1, B2, B2, C6, C6"
Management Sciences,Public Administration,169,160,46.35,55.0,True,1,not admitted,"C6, B3, B3, C6, C6"
Arts,Linguistics and Language,244,150,63.6,55.0,True,1,admitted,"B2, B2, B2, C6, C6"
Social Sciences,Geography,173,150,43.95,55.0,True,2,not admitted,"B3, C4, A1, B3, C6"
Arts,History and International Studies,287,180,55.05,67.8,True,2,not admitted,"C5, B3, C5, C5, C5"
Basic Medical Science,Physiology,187,180,42.05,61.5,True,2,not admitted,"B2, B2, C6, C5, C6"
College of Medicine,Medicine and Surgery,142,260,52.3,55.0,True,1,not admitted,"C5, C5, A1, A1, B2"
Science,Biochemistry,291,180,70.65,63.75,True,1,admitted,"A1, C5, C6, C4, B2"
Basic Medical Science,Physiology,230,180,58.5,61.5,True,2,not admitted,"A1, B2, A1, C6, A1"
Management Sciences,Finance,231,160,46.65,55.0,True,2,not admitted,"B3, C5, C5, C4, C6"
Environmental Design and Management,Survey and Geo-informatics,266,150,63.9,55.0,True,1,admitted,"A1, C6, C5, C4, C5"
Agriculture,Food Science and Technology,155,150,55.25,58.0,True,1,not admitted,"C4, C4, B3, A1, A1"
Environmental Design and Management,Urban and Regional Planning,215,150,61.25,56.0,True,1,admitted,"C4, B2, A1, C4, C5"
Agriculture,Food Science and Technology,293,150,67.95,58.0,True,1,admitted,"B2, C6, C6, C4, B3"
Agriculture,Water Resources Management and Agrometeorology,183,150,60.45,55.0,True,1,admitted,"B2, C5, A1, A1, B3"
Environmental Design and Management,Urban and Regional Planning,232,150,53.8,56.0,True,1,not admitted,"C6, C4, C6, C4, C6"
Agriculture,Soil Science and Land Resources Management,216,150,55.4,55.0,True,2,admitted,"B3, C4, A1, B2, B2"
Communications and Media Studies,Journalism,168,150,50.2,64.0,True,1,not admitted,"C6, C4, B2, C6, B2"
Management Sciences,Finance,222,160,45.3,55.0,True,2,not admitted,"C5, C4, C5, C6, B3"
Arts,Linguistics and Language,241,150,61.15,55.0,True,2,admitted,"B2, B3, A1, B3, A1"
Basic Medical Science,Medical Laboratory Science,346,200,77.9,72.3,True,1,admitted,"C4, C4, B3, C6, B2"
Environmental Design and Management,Architecture,267,210,63.05,66.25,True,1,not admitted,"C5, B2, C6, C4, C5"
Social Sciences,Sociology,225,160,54.75,63.95,True,2,not admitted,"A1, A1, B2, C4, C6"
Pharmacy,Doctor of Pharmacy,304,240,73.6,55.0,True,1,admitted,"C5, B2, C5, B2, B3"
Social Sciences,Economics,305,180,61.75,63.75,True,2,not admitted,"B3, C4, C6, C4, B2"
Arts,Linguistics and Language,166,150,55.9,55.0,True,1,admitted,"B3, B3, A1, A1, C6"
Pharmacy,Doctor of Pharmacy,309,240,74.35,55.0,True,1,admitted,"C5, A1, C5, C5, A1"
Social Sciences,Economics,316,180,63.4,63.75,True,2,not admitted,"C6, A1, C6, B2, C4"
Social Sciences,Sociology,163,160,47.45,63.95,True,2,not admitted,"A1, C5, A1, C4, A1"
College of Medicine,Medicine and Surgery,208,260,50.2,55.0,True,2,not admitted,"B2, B3, A1, C6, C4"
Social Sciences,Geography,311,150,65.65,55.0,True,2,admitted,"B3, B3, C4, A1, C5"
Science,Geology,144,150,40.6,59.5,True,2,not admitted,"B2, A1, C6, B2, C5"
Basic Medical Science,Anatomy,203,180,61.45,63.3,True,1,not admitted,"C4, B2, C4, B2, B2"
Environmental Design and Management,Estate Management,176,160,50.4,57.5,True,1,not admitted,"C5, C4, C4, C4, C4"
Management Sciences,Business Administration,247,200,49.05,55.0,True,2,not admitted,"C6, C6, B3, B2, C6"
Agriculture,Fisheries and Aquaculture,143,150,48.45,50.3,True,1,not admitted,"C4, B3, B2, B3, C6"
Basic Medical Science,Nursing Science,227,150,52.05,55.0,True,2,not admitted,"C4, A1, C5, B2, C5"
Social Sciences,Political Science,151,180,49.65,62.5,True,1,not admitted,"B2, C5, C4, B3, C4"
Law,Law,151,240,43.65,55.0,True,2,not admitted,"C5, B2, A1, C5, A1"
Arts,History and International Studies,146,180,38.9,67.8,True,2,not admitted,"B2, C6, C5, A1, C4"
Environmental Design and Management,Quantity Surveying,332,170,62.8,60.5,True,2,admitted,"B2, C6, C4, C5, C5"
Engineering,Civil Engineering,239,200,63.85,65.0,True,1,not admitted,"C6, A1, C5, C4, A1"
Engineering,Mechanical Engineering,256,200,63.4,65.0,True,1,not admitted,"C6, B3, C4, A1, C6"
College of Medicine,Medicine and Surgery,269,260,55.35,55.0,True,2,admitted,"B3, C6, A1, C4, C6"
Social Sciences,Geography,146,150,38.9,55.0,True,2,not admitted,"C6, C4, C4, B2, B2"
Environmental Design and Management,Urban and Regional Planning,279,150,74.85,56.0,True,1,admitted,"C4, B3, A1, B3, A1"
Arts,History and International Studies,302,180,81.3,67.8,True,1,admitted,"A1, A1, A1, C5, A1"
Arts,Theatre and Media Arts,337,200,78.55,65.8,True,1,admitted,"B2, B3, B2, C4, C6"
Education,Library and Information Science,143,150,51.45,64.5,True,1,not admitted,"B3, B2, B3, A1, C6"
Communications and Media Studies,Pulic Relations,238,150,58.7,55.0,True,1,admitted,"C6, A1, C6, C4, C5"
Agriculture,Soil Science and Land Resources Management,196,150,60.4,55.0,True,1,admitted,"A1, B2, C5, A1, C5"
Management Sciences,Finance,240,160,46.0,55.0,True,2,not admitted,"C6, C6, C4, C6, B3"
Agriculture,Crop Science and Horticulture,306,150,69.9,57.3,True,1,admitted,"B3, C5, C6, B2, C5"
Environmental Design and Management,Building,233,170,61.95,57.5,True,1,admitted,"B3, C6, B2, C4, B3"
Science,Computer Science,145,200,50.75,65.3,True,1,not admitted,"B3, B3, C5, B3, B2"
Basic Medical Science,Medical Laboratory Science,160,200,47.0,72.3,True,2,not admitted,"C4, A1, C5, A1, A1"
Agriculture,Food Science and Technology,252,150,55.8,58.0,True,2,not admitted,"C4, B3, B3, C6, A1"
Environmental Design and Management,Architecture,284,210,67.6,66.25,True,1,admitted,"C5, C6, A1, C6, B2"
Education,Chemistry Education,310,150,58.5,55.0,True,2,admitted,"A1, C5, C6, C6, C5"
Environmental Design and Management,Quantity Surveying,313,170,60.95,60.5,True,2,admitted,"C5, C5, C5, B2, C4"
Management Sciences,Finance,238,160,57.7,55.0,True,2,admitted,"C5, A1, B2, B3, B2"
Communications and Media Studies,Broadcasting,153,150,36.95,64.0,True,2,not admitted,"C5, C4, B3, C5, C4"
College of Medicine,Medicine and Surgery,303,260,56.45,55.0,True,2,admitted,"C6, C6, C6, B3, B3"
Education,Biology Education,320,150,59.0,55.0,True,2,admitted,"C4, B3, C6, C5, C6"
Science,Mathematics,262,150,54.3,55.5,True,2,not admitted,"B3, C5, C6, C5, A1"
College of Medicine,Medicine and Surgery,258,260,64.7,55.0,True,1,not admitted,"A1, B3, C6, C6, B3"
Engineering,Meterials and Metallurgical Engineering,266,150,66.9,55.0,True,1,admitted,"C4, C5, C6, B2, A1"
Pharmacy,Doctor of Pharmacy,293,240,74.95,55.0,True,1,admitted,"C4, B3, B3, B2, B2"
Basic Medical Science,Radiology and Radiography,204,200,45.6,71.3,True,2,not admitted,"B3, C6, C5, C4, B2"
Agriculture,Agricultural Economics and Extension,153,150,48.95,57.8,True,1,not admitted,"C6, C5, C5, B2, A1"
Communications and Media Studies,Journalism,232,150,47.8,64.0,True,2,not admitted,"C6, B2, C6, C6, B2"
Basic Medical Science,Nursing Science,260,150,69.0,55.0,True,1,admitted,"C5, B3, A1, B3, B3"
Engineering,Agricultural and Bio-Resources Engineering,343,160,78.45,55.0,True,1,admitted,"C6, B3, C5, A1, B3"
Education,Mathematics Education,234,150,51.1,55.5,True,2,not admitted,"C6, B2, B3, C4, C4"
Management Sciences,Finance,147,160,44.05,55.0,True,1,not admitted,"B3, C4, C5, C5, C6"
College of Medicine,Medicine and Surgery,342,260,68.3,55.0,True,2,admitted,"C4, B2, B3, C4, C5"
Science,Biochemistry,323,180,63.45,63.75,True,2,not admitted,"C5, C5, B3, C4, B3"
Science,Statistics,297,150,76.55,54.5,True,1,admitted,"B2, C6, A1, B2, B2"
Pharmacy,Doctor of Pharmacy,183,240,42.45,55.0,True,2,not admitted,"C6, C4, C4, C4, B2"
Basic Medical Science,Radiology and Radiography,219,200,60.85,71.3,True,1,not admitted,"C5, C4, C4, A1, B3"
Agriculture,Hospitality and Tourism Management,146,150,35.9,58.45,True,2,not admitted,"B3, B2, C4, C6, C6"
Science,Industrial Chemistry,142,150,48.3,60.5,True,1,not admitted,"A1, C4, C6, A1, C6"
Management Sciences,Accounting,282,200,56.3,55.0,True,2,admitted,"C4, C6, B3, C6, B2"
Social Sciences,Political Science,284,180,57.6,62.5,True,2,not admitted,"B2, C5, C6, A1, C6"
Pharmacy,Doctor of Pharmacy,228,240,51.2,55.0,True,2,not admitted,"B3, B2, C4, C5, C4"
Basic Medical Science,Nursing Science,155,150,40.25,55.0,True,2,not admitted,"A1, B2, B3, C6, C6"
Environmental Design and Management,Building,246,170,54.9,57.5,True,2,not admitted,"C5, B2, B2, B2, C6"
Communications and Media Studies,Journalism,142,150,49.3,64.0,True,1,not admitted,"C6, B3, B2, A1, C5"
College of Medicine,Medicine and Surgery,328,260,69.2,55.0,True,2,admitted,"C4, A1, C4, B2, C4"
Social Sciences,Economics,237,180,58.55,63.75,True,2,not admitted,"A1, A1, C6, A1, B3"
Law,Law,243,240,53.45,55.0,True,2,not admitted,"C6, C6, A1, B3, B2"
Social Sciences,Economics,347,180,82.05,63.75,True,1,admitted,"B3, A1, C6, B3, B2"
College of Medicine,Medicine and Surgery,202,260,57.3,55.0,True,1,not admitted,"C6, B3, B2, C6, A1"
Basic Medical Science,Physiology,151,180,40.65,61.5,True,2,not admitted,"C5, B2, B2, C4, C4"
Basic Medical Science,Physiology,232,180,50.8,61.5,True,2,not admitted,"B3, C4, C6, B3, B3"
Arts, English and Literary Studies,308,150,75.2,55.0,True,1,admitted,"B3, B2, C6, A1, C4"
Agriculture,Crop Science and Horticulture,276,150,73.4,57.3,True,1,admitted,"B2, C5, B2, A1, B3"
Engineering,Agricultural and Bio-Resources Engineering,141,160,38.15,55.0,True,2,not admitted,"B2, B2, C5, B3, C6"
Basic Medical Science,Anatomy,288,180,65.2,63.3,True,1,admitted,"C6, C4, C5, B2, C6"
Engineering,Agricultural and Bio-Resources Engineering,213,160,49.95,55.0,True,2,not admitted,"A1, C5, A1, C4, C6"
Communications and Media Studies,Mass Communication,201,220,47.15,66.3,True,2,not admitted,"C6, A1, C4, C6, A1"
Communications and Media Studies,Broadcasting,247,150,59.05,64.0,True,2,not admitted,"B3, B2, A1, B2, C5"
Communications and Media Studies,Mass Communication,270,220,55.5,66.3,True,2,not admitted,"C6, A1, C4, C6, B3"
College of Medicine,Medicine and Surgery,209,260,53.35,55.0,True,2,not admitted,"B3, C5, B3, A1, A1"
Science,Mathematics,340,150,77.0,55.5,True,1,admitted,"C6, B3, C5, B2, B3"
College of Medicine,Medicine and Surgery,203,260,53.45,55.0,True,1,not admitted,"C5, C6, B2, C5, C4"
Management Sciences,Business Administration,200,200,51.0,55.0,True,1,not admitted,"C4, C5, C5, C6, C4"
Engineering,Electrical and Electronics Engineering,248,200,59.2,63.3,True,2,not admitted,"C5, A1, B2, C4, A1"
Arts,Theatre and Media Arts,275,200,71.25,65.8,True,1,admitted,"B2, C5, B3, B2, B3"
Law,Law,337,240,73.55,55.0,True,1,admitted,"C6, C5, B3, C5, B3"
College of Medicine,Medicine and Surgery,300,260,72.0,55.0,True,1,admitted,"C4, B2, C5, C6, A1"
Science,Chemistry,301,150,69.15,62.5,True,1,admitted,"C6, B3, B2, C4, C6"
Law,Law,236,240,51.4,55.0,True,2,not admitted,"C5, C6, B2, C4, B2"
Agriculture,Water Resources Management and Agrometeorology,212,150,59.8,55.0,True,1,admitted,"B3, C5, C5, B3, A1"
Basic Medical Science,Medical Laboratory Science,287,200,53.05,72.3,True,2,not admitted,"C5, C6, B3, C6, C5"
Pharmacy,Doctor of Pharmacy,245,240,53.75,55.0,True,2,not admitted,"C5, C4, C4, A1, C4"
College of Medicine,Medicine and Surgery,326,260,70.9,55.0,True,2,admitted,"B3, B2, B3, A1, C4"
Social Sciences,Demography and Social Statistics,169,150,60.35,60.5,True,1,not admitted,"B2, B3, A1, B3, A1"
Agriculture,Water Resources Management and Agrometeorology,212,150,46.8,55.0,True,2,not admitted,"B3, C4, B3, C6, C4"
Management Sciences,Accounting,278,200,72.7,55.0,True,1,admitted,"A1, C5, B2, C4, B2"
Education,Health Education,315,150,71.25,57.95,True,1,admitted,"A1, C5, C5, C6, C4"
Management Sciences,Accounting,231,200,63.65,55.0,True,1,admitted,"A1, B2, C5, C6, B2"
Education,Biology Education,222,150,45.3,55.0,True,2,not admitted,"C6, C6, C4, C4, B3"
Management Sciences,Public Administration,246,160,58.9,55.0,True,1,admitted,"C6, C5, B3, C6, B3"
Law,Law,186,240,53.9,55.0,True,1,not admitted,"C6, A1, C6, C4, B2"
Engineering,Mechanical Engineering,239,200,46.85,65.0,True,2,not admitted,"C6, C6, C6, C4, B2"
Communications and Media Studies,Journalism,202,150,46.3,64.0,True,2,not admitted,"B2, B2, C6, C4, C5"
Arts,Theatre and Media Arts,239,200,57.85,65.8,True,1,not admitted,"C6, B3, C5, C5, C4"
Law,Law,236,240,61.4,55.0,True,1,not admitted,"C4, C5, B3, A1, C6"
Environmental Design and Management,Architecture,226,210,48.9,66.25,True,2,not admitted,"C4, B3, C6, C5, B2"
Science,Zoology,345,150,66.75,55.5,True,2,admitted,"C5, B3, C4, C6, B2"
College of Medicine,Medicine and Surgery,323,260,59.45,55.0,True,2,admitted,"C5, C5, C5, C6, B3"
Arts,Linguistics and Language,196,150,39.4,55.0,True,2,not admitted,"C5, C5, C5, C6, C4"
Arts, English and Literary Studies,153,150,44.95,55.0,True,2,not admitted,"A1, C4, C5, B2, A1"
Management Sciences,Finance,176,160,56.4,55.0,True,1,admitted,"B3, B3, B3, C5, A1"
Management Sciences,Accounting,155,200,52.25,55.0,True,1,not admitted,"C4, B2, C5, B3, B2"
College of Medicine,Medicine and Surgery,300,260,70.0,55.0,True,2,admitted,"A1, B2, B3, B3, A1"
Education,Biology Education,306,150,66.9,55.0,True,2,admitted,"B3, C6, A1, B2, B2"
Law,Law,260,240,56.0,55.0,True,2,admitted,"C6, B2, B3, B2, C5"
College of Medicine,Medicine and Surgery,299,260,64.85,55.0,True,2,admitted,"B3, A1, B3, C4, C4"
Management Sciences,Finance,335,160,69.25,55.0,True,2,admitted,"B2, C6, C4, B3, A1"
Education,Biology Education,315,150,77.25,55.0,True,1,admitted,"A1, C5, C4, B2, B3"
Engineering,Agricultural and Bio-Resources Engineering,221,160,52.15,55.0,True,2,not admitted,"C4, B2, B2, C5, B3"
Communications and Media Studies,Broadcasting,220,150,59.0,64.0,True,1,not admitted,"C4, B2, C5, C6, B2"
Social Sciences,Economics,165,180,54.75,63.75,True,1,not admitted,"C6, A1, C6, A1, A1"
Education,Health Education,307,150,69.05,57.95,True,2,admitted,"B3, C4, A1, B2, B2"
Basic Medical Science,Radiology and Radiography,349,200,62.35,71.3,True,2,not admitted,"C5, C6, C6, C6, B2"
Law,Law,294,240,73.1,55.0,True,1,admitted,"B2, B3, C4, C5, B2"
Engineering,Electrical and Electronics Engineering,288,200,56.2,63.3,True,2,not admitted,"A1, C4, C6, C6, C5"
Management Sciences,Business Administration,232,200,59.8,55.0,True,1,admitted,"C4, B3, C4, C4, C5"
Agriculture,Agricultural Economics and Extension,307,150,72.05,57.8,True,1,admitted,"C5, A1, B2, C6, C5"
Basic Medical Science,Anatomy,228,180,50.2,63.3,True,2,not admitted,"C6, C6, A1, A1, C5"
Basic Medical Science,Physiology,252,180,50.8,61.5,True,2,not admitted,"C5, C5, C5, C4, B3"
Agriculture,Agricultural Economics and Extension,142,150,52.3,57.8,True,1,not admitted,"A1, C5, A1, A1, C6"
Communications and Media Studies,Journalism,154,150,43.1,64.0,True,2,not admitted,"B3, A1, C4, C4, B3"
College of Medicine,Medicine and Surgery,253,260,62.95,55.0,True,2,not admitted,"A1, B3, A1, A1, C4"
Management Sciences,Accounting,288,200,63.2,55.0,True,2,admitted,"B3, A1, C6, B3, B2"
Pharmacy,Doctor of Pharmacy,313,240,63.95,55.0,True,2,admitted,"C5, B3, C5, A1, C4"
Basic Medical Science,Physiology,248,180,67.2,61.5,True,1,admitted,"A1, A1, C5, C4, C4"
Engineering,Electrical and Electronics Engineering,348,200,72.2,63.3,True,2,admitted,"B2, A1, C5, B3, C4"
Management Sciences,Finance,267,160,56.05,55.0,True,2,admitted,"C6, C6, A1, A1, C5"
Communications and Media Studies,Pulic Relations,296,150,66.4,55.0,True,1,admitted,"B2, C4, C6, C5, C6"
College of Medicine,Medicine and Surgery,144,260,53.6,55.0,True,1,not admitted,"A1, B2, C4, B2, C4"
Law,Law,343,240,83.45,55.0,True,1,admitted,"A1, C4, A1, C4, B3"
Education,Mathematics Education,156,150,44.4,55.5,True,1,not admitted,"C6, C6, C5, C5, B2"
Communications and Media Studies,Journalism,298,150,74.7,64.0,True,1,admitted,"C4, A1, B2, C5, B3"
College of Medicine,Medicine and Surgery,149,260,51.35,55.0,True,1,not admitted,"C4, B3, B3, B2, C4"
Law,Law,306,240,64.9,55.0,True,2,admitted,"B2, C6, A1, C4, B3"
Pharmacy,Doctor of Pharmacy,160,240,43.0,55.0,True,2,not admitted,"A1, B3, C6, C5, A1"
College of Medicine,Medicine and Surgery,257,260,73.55,55.0,True,1,not admitted,"C5, A1, A1, A1, B2"
Management Sciences,Public Administration,209,160,64.35,55.0,True,1,admitted,"A1, A1, B3, B3, C4"
Arts, English and Literary Studies,216,150,62.4,55.0,True,1,admitted,"B3, C6, A1, B2, B3"
Basic Medical Science,Nursing Science,214,150,63.1,55.0,True,1,admitted,"B2, A1, C5, B3, B3"
Arts,Linguistics and Language,332,150,64.8,55.0,True,2,admitted,"B3, C4, C6, C4, B3"
Environmental Design and Management,Estate Management,248,160,52.2,57.5,True,2,not admitted,"C4, C5, B3, B3, C5"
Basic Medical Science,Physiology,158,180,36.7,61.5,True,2,not admitted,"C5, C5, B2, C4, C6"
Basic Medical Science,Medical Laboratory Science,205,200,59.75,72.3,True,1,not admitted,"B2, B2, B2, C4, C6"
Agriculture,Agricultural Economics and Extension,348,150,67.2,57.8,True,2,admitted,"C4, C5, C4, B3, C4"
Communications and Media Studies,Pulic Relations,197,150,51.55,55.0,True,2,not admitted,"B3, C4, B2, B2, B2"
Education,Physics Education,232,150,55.8,53.6,True,2,admitted,"C5, B2, C4, A1, B2"
Agriculture,Soil Science and Land Resources Management,308,150,67.2,55.0,True,2,admitted,"C4, B2, B2, A1, C5"
Law,Law,314,240,70.1,55.0,True,1,admitted,"C6, B2, C6, C4, C4"
Social Sciences,Psychology,343,150,67.45,64.5,True,1,admitted,"C6, C6, C5, C6, C6"
Management Sciences,Business Administration,326,200,79.9,55.0,True,1,admitted,"C4, A1, A1, C6, B2"
Engineering,Mechanical Engineering,296,200,62.4,65.0,True,2,not admitted,"A1, C6, C5, C4, A1"
Communications and Media Studies,Mass Communication,204,220,44.6,66.3,True,2,not admitted,"C6, B3, C6, C5, A1"
Basic Medical Science,Radiology and Radiography,316,200,67.4,71.3,True,2,not admitted,"B3, B2, C6, B2, B2"
Basic Medical Science,Physiology,303,180,74.45,61.5,True,1,admitted,"B2, A1, C5, B2, C6"
Basic Medical Science,Physiology,253,180,67.95,61.5,True,1,admitted,"B2, B2, C4, C6, A1"
Agriculture,Water Resources Management and Agrometeorology,169,150,50.35,55.0,True,1,not admitted,"B3, C4, C6, C5, B2"
Social Sciences,Sociology,275,160,61.25,63.95,True,2,not admitted,"B3, C4, B3, C4, A1"
College of Medicine,Medicine and Surgery,332,260,73.8,55.0,True,1,admitted,"C4, C5, A1, C5, C6"
Basic Medical Science,Physiology,287,180,74.05,61.5,True,1,admitted,"C6, A1, B3, A1, B3"
Agriculture,Water Resources Management and Agrometeorology,329,150,72.35,55.0,True,2,admitted,"C5, B2, A1, B2, B2"
Pharmacy,Doctor of Pharmacy,153,240,52.95,55.0,True,1,not admitted,"B3, A1, C5, C4, B2"
Arts,History and International Studies,298,180,71.7,67.8,True,1,admitted,"C4, C6, C4, B3, A1"
Communications and Media Studies,Mass Communication,144,220,38.6,66.3,True,2,not admitted,"C4, C4, A1, C4, C5"
Social Sciences,Sociology,215,160,61.25,63.95,True,1,not admitted,"B3, C4, C4, B3, B2"
Arts,Theatre and Media Arts,271,200,61.65,65.8,True,1,not admitted,"C5, C4, C6, C5, C4"
Communications and Media Studies,Pulic Relations,205,150,54.75,55.0,True,2,not admitted,"A1, A1, B3, C4, B2"
Education,Health Education,336,150,77.4,57.95,True,1,admitted,"B3, B3, C6, C4, B2"
Agriculture,Crop Science and Horticulture,281,150,64.15,57.3,True,2,admitted,"B3, B2, B2, A1, C5"
Education,Biology Education,236,150,49.4,55.0,True,2,not admitted,"C6, C5, A1, C4, C5"
Social Sciences,Psychology,194,150,57.1,64.5,True,1,not admitted,"C6, C4, A1, C4, B2"
Engineering,Agricultural and Bio-Resources Engineering,302,160,58.3,55.0,True,2,admitted,"B2, B3, C6, C6, C5"
Basic Medical Science,Nursing Science,205,150,41.75,55.0,True,2,not admitted,"C6, C6, C5, C4, B3"
Pharmacy,Doctor of Pharmacy,300,240,66.0,55.0,True,1,admitted,"B3, C6, C6, C6, B3"
Environmental Design and Management,Urban and Regional Planning,156,150,45.4,56.0,True,1,not admitted,"C6, C5, C5, A1, C6"
Environmental Design and Management,Quantity Surveying,213,170,44.95,60.5,True,2,not admitted,"A1, C4, C5, C6, C6"
Management Sciences,Business Administration,265,200,62.75,55.0,True,2,admitted,"B2, B2, A1, C6, A1"
Environmental Design and Management,Urban and Regional Planning,240,150,55.0,56.0,True,2,not admitted,"C4, C5, A1, C4, B2"
Management Sciences,Finance,143,160,48.45,55.0,True,1,not admitted,"C5, A1, C4, C5, B3"
Arts,Linguistics and Language,166,150,45.9,55.0,True,1,not admitted,"C6, B2, C6, C5, C5"
Basic Medical Science,Medical Laboratory Science,310,200,73.5,72.3,True,1,admitted,"B3, C4, C5, C5, A1"
Basic Medical Science,Physiology,150,180,45.5,61.5,True,2,not admitted,"B2, A1, B2, B2, C5"
Communications and Media Studies,Pulic Relations,286,150,68.9,55.0,True,1,admitted,"A1, C5, C5, C5, B3"
Communications and Media Studies,Broadcasting,272,150,71.8,64.0,True,1,admitted,"B3, C5, A1, C4, A1"
Education,Chemistry Education,328,150,83.2,55.0,True,1,admitted,"C4, B2, A1, B2, B2"
Science,Biochemistry,287,180,76.05,63.75,True,1,admitted,"A1, B2, C5, B3, A1"
Pharmacy,Doctor of Pharmacy,164,240,58.6,55.0,True,1,not admitted,"A1, C5, B2, A1, B2"
Law,Law,183,240,43.45,55.0,True,2,not admitted,"C5, C4, A1, C6, B3"
Law,Law,220,240,61.0,55.0,True,1,not admitted,"B3, C5, B3, A1, C5"
College of Medicine,Medicine and Surgery,192,260,47.8,55.0,True,2,not admitted,"C4, C5, A1, C5, A1"
Science,Statistics,144,150,52.6,54.5,True,1,not admitted,"B2, C4, B3, A1, C4"
Law,Law,228,240,51.2,55.0,True,2,not admitted,"C5, A1, C4, C6, B2"
Agriculture,Water Resources Management and Agrometeorology,237,150,63.55,55.0,True,1,admitted,"C5, C6, B2, B3, A1"
Science,Mathematics,159,150,45.85,55.5,True,1,not admitted,"C6, B3, C4, C6, C4"
Communications and Media Studies,Journalism,176,150,39.4,64.0,True,2,not admitted,"A1, C6, C6, C4, C5"
Social Sciences,Sociology,208,160,55.2,63.95,True,2,not admitted,"B3, A1, B2, B3, B2"
Science,Physics,255,150,57.25,56.5,True,1,admitted,"C6, C6, C4, C4, C6"
Science,Biochemistry,215,180,47.25,63.75,True,2,not admitted,"C4, B2, C5, B3, C6"
