Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Education,Science Education,273,14.82,62.14,True,2,admitted,"C5, B3, C4, C4, C6"
Social Sciences,Geography,267,26.73,74.5,True,1,admitted,"A1, C5, B2, C6, C5"
Veterinary Medicine,Veterinary Medicine,168,11.8,48.0,True,2,not admitted,"B2, C4, C5, C4, B2"
Engineering and Technology,Biomedical Engineering,199,21.56,63.23,True,1,admitted,"C6, B2, A1, A1, B3"
Basic Medical Sciences,Anatomy,142,19.07,52.42,True,1,not admitted,"B2, C6, B2, B2, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,242,9.2,53.05,True,1,admitted,"B3, C4, C4, C5, C5"
Clinical Sciences,Nursing Science,362,7.83,68.28,True,1,admitted,"C4, B3, C4, C4, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,350,0.69,59.24,True,2,admitted,"C5, B2, B2, C5, C4"
Education,Arts Education,268,13.56,62.26,True,1,admitted,"A1, A1, C5, C6, C4"
Veterinary Medicine,Veterinary Medicine,343,25.43,81.91,True,1,admitted,"B3, C6, C6, C5, A1"
Pharmaceutical Sciences,Pharmacy,169,24.91,60.83,True,2,not admitted,"C5, B3, B3, A1, C6"
Pharmaceutical Sciences,Pharmacy,248,26.41,72.61,True,2,admitted,"C4, B3, B2, B3, C5"
Life Sciences,Zoology,199,3.67,46.15,True,2,not admitted,"C4, A1, B3, A1, B2"
Basic Medical Sciences,Biomedical Science,400,16.52,79.32,True,1,admitted,"C5, C4, C5, C5, C4"
Social Sciences,Political Science,381,6.75,69.17,True,1,admitted,"C5, A1, B3, C4, C5"
Agriculture,Agricultural Extension and Rural Development,200,17.28,53.08,True,2,admitted,"C6, C5, C6, C5, C6"
Management Sciences,Finance,178,10.88,45.13,True,1,not admitted,"B3, C4, C6, C6, C6"
Physical Sciences,Geology,152,20.88,54.68,True,1,not admitted,"A1, B3, B2, C6, C6"
Physical Sciences,Computer Science,356,9.77,70.27,True,1,admitted,"B3, B2, C4, B2, C4"
Education,Educational Management,400,23.57,88.77,True,2,admitted,"B2, C6, C6, A1, B2"
Clinical Sciences,Nursing Science,143,16.92,51.2,True,2,not admitted,"B2, C4, B3, B2, B3"
Communication and Information Sciences,Computer Science,156,4.57,39.67,True,1,not admitted,"B2, C4, B2, B3, C5"
Law,Law,240,11.43,55.83,True,1,admitted,"B2, C4, C6, C5, B2"
Arts,English,228,21.4,65.9,True,2,admitted,"B2, B3, B2, B2, C6"
Veterinary Medicine,Veterinary Medicine,339,18.49,78.06,True,1,admitted,"C4, A1, B2, A1, C4"
Arts,Arabic,189,14.84,51.67,True,2,admitted,"C4, C4, C5, C4, C5"
Environmental Sciences,Quantity Surveying,159,29.05,65.32,True,2,not admitted,"C5, B3, A1, B3, B2"
Education,Educational Management,316,20.44,76.34,True,2,admitted,"B2, B3, C5, B2, B2"
Education,Social Sciences Education,229,4.87,47.89,True,1,not admitted,"C6, B3, A1, C6, B3"
Arts,Performing Arts,183,11.21,47.69,True,2,not admitted,"C5, C5, C5, C4, B2"
Clinical Sciences,Nursing Science,160,15.77,49.77,True,2,not admitted,"C5, C4, C4, A1, C6"
Education,Educational Technology,168,19.06,51.66,True,2,not admitted,"C4, C6, C5, C5, C6"
Pharmaceutical Sciences,Pharmacy,351,19.27,75.55,True,1,admitted,"C5, C4, C6, C6, B3"
Engineering and Technology,Food & Bioprocess Engineering,386,15.3,77.95,True,1,admitted,"C5, B3, C4, A1, C6"
Arts,French,297,25.91,77.83,True,2,admitted,"C5, A1, B3, C4, C5"
Physical Sciences,Computer Science,185,4.18,44.91,True,1,not admitted,"B2, A1, A1, C4, B3"
Basic Medical Sciences,Biomedical Science,398,24.99,89.94,True,1,admitted,"B2, C4, A1, C5, C5"
Engineering and Technology,Electrical and Electronics Engineering,229,26.1,67.92,True,1,admitted,"C5, C4, C6, B3, C4"
Life Sciences,Zoology,331,21.06,78.84,True,2,admitted,"B3, C4, B3, A1, B3"
Basic Medical Sciences,Anatomy,155,17.97,55.34,True,2,not admitted,"A1, C6, A1, A1, A1"
Veterinary Medicine,Veterinary Medicine,178,22.4,59.85,True,2,not admitted,"B3, A1, C6, C4, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,205,17.66,56.88,True,1,admitted,"A1, C6, B2, C6, C6"
Communication and Information Sciences,Telecommunication Science,369,29.54,89.26,True,1,admitted,"A1, C6, C5, C4, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,275,24.57,76.55,True,1,admitted,"B2, A1, A1, B3, C4"
Agriculture,Agricultural Economics and Farm Management,268,23.49,71.39,True,1,admitted,"C6, C5, B3, B3, B2"
Physical Sciences,Geology,235,5.97,49.34,True,2,not admitted,"C6, A1, C5, B2, C6"
Education,Educational Technology,284,27.47,75.77,True,2,admitted,"C6, B2, C5, C4, C6"
Pharmaceutical Sciences,Pharmacy,301,29.85,82.27,True,2,admitted,"B3, C6, A1, C6, B2"
Engineering and Technology,Civil Engineering,359,5.48,66.36,True,1,admitted,"C5, A1, C5, A1, B3"
Social Sciences,Geography,340,9.55,69.25,True,1,admitted,"A1, B3, B3, B2, B3"
Veterinary Medicine,Veterinary Medicine,149,23.04,58.86,True,1,not admitted,"A1, B3, B2, C4, B2"
Agriculture,Crop Protection,387,3.27,68.84,True,1,admitted,"A1, B2, A1, C5, B3"
Agriculture,Crop Protection,183,18.57,57.45,True,1,admitted,"A1, B3, B3, C4, C4"
Arts,History and International Studies,256,3.73,51.33,True,2,admitted,"B3, C5, C4, A1, B3"
Management Sciences,Finance,345,27.21,86.34,True,2,admitted,"C5, A1, A1, C5, B3"
Agriculture,Crop Protection,355,11.09,72.67,True,1,admitted,"B2, C5, B3, A1, A1"
Law,Law,178,9.68,48.33,True,2,not admitted,"B2, B2, C4, C4, B2"
Engineering and Technology,Food & Bioprocess Engineering,225,17.19,59.31,True,1,admitted,"C5, B3, B3, B3, C6"
Arts,English,388,22.57,87.87,True,1,admitted,"C6, B2, B2, A1, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,399,4.78,66.66,True,2,admitted,"C6, C4, C4, C5, C6"
Management Sciences,Industrial Relations and Personnel Management,274,20.47,68.72,True,2,admitted,"C4, C4, C6, B2, C4"
Physical Sciences,Statistics,395,7.74,73.52,True,2,admitted,"C5, B2, B2, B2, B3"
Clinical Sciences,Nursing Science,271,6.31,54.59,True,1,admitted,"A1, C6, C6, A1, C5"
Environmental Sciences,Urban and Regional Planning,338,21.25,79.1,True,2,admitted,"C4, C4, B2, C5, A1"
Agriculture,Animal Production,391,23.0,88.67,True,2,admitted,"C4, B3, B2, A1, B3"
Physical Sciences,Physics,295,14.46,66.53,True,1,admitted,"C5, A1, A1, C4, C6"
Arts,French,228,22.53,65.83,True,1,admitted,"B3, C6, A1, C6, B2"
Clinical Sciences,Nursing Science,399,25.77,89.64,True,2,admitted,"C6, C4, C4, C5, A1"
Management Sciences,Accounting,340,17.33,73.43,True,2,admitted,"C4, C5, C4, C4, C4"
Veterinary Medicine,Veterinary Medicine,297,26.28,80.2,True,2,admitted,"A1, A1, C5, C5, A1"
Law,Law,393,16.2,79.33,True,1,admitted,"B3, B3, C5, C4, C5"
Clinical Sciences,Nursing Science,233,7.57,47.09,True,1,not admitted,"C6, C6, C5, C6, C6"
Arts,French,286,1.78,51.93,True,1,admitted,"C5, C4, C5, C4, A1"
Law,Law,238,22.38,66.13,True,2,admitted,"C4, C6, B3, C6, A1"
Veterinary Medicine,Veterinary Medicine,157,0.26,33.48,True,2,not admitted,"B3, C5, C4, C5, C4"
Physical Sciences,Physics,193,10.31,49.23,True,1,not admitted,"B3, A1, C6, C4, C4"
Social Sciences,Political Science,171,9.7,48.27,True,1,not admitted,"C5, A1, A1, C4, A1"
Basic Medical Sciences,Physiology,146,9.4,42.45,True,2,not admitted,"A1, C6, A1, C5, C5"
Communication and Information Sciences,Telecommunication Science,167,24.72,61.59,True,1,not admitted,"B3, C4, C4, B2, B2"
Clinical Sciences,Nursing Science,363,24.7,81.67,True,1,admitted,"C6, C6, B2, C6, C6"
Pharmaceutical Sciences,Pharmacy,338,26.8,86.25,True,2,admitted,"B3, B3, C4, A1, A1"
Communication and Information Sciences,Telecommunication Science,383,0.76,63.44,True,1,admitted,"C5, C6, C4, B2, A1"
Environmental Sciences,Estate Management,219,15.51,56.48,True,2,admitted,"C5, C6, C4, A1, C5"
Social Sciences,Geography,189,18.91,58.93,True,2,admitted,"A1, B2, C5, B2, C4"
Communication and Information Sciences,Information and Communication Science,205,13.71,55.33,True,2,admitted,"C4, B2, C6, A1, B2"
Pharmaceutical Sciences,Pharmacy,207,26.5,69.17,True,2,admitted,"C4, C5, B2, A1, A1"
Life Sciences,Microbiology,330,1.49,60.74,True,1,admitted,"B3, A1, C4, A1, A1"
Basic Medical Sciences,Biomedical Science,380,16.97,77.67,True,2,admitted,"C6, C5, C5, B2, C4"
Engineering and Technology,Agricultural and Biosystems Engineering,276,9.42,58.72,True,1,admitted,"C6, C5, A1, B2, C4"
Veterinary Medicine,Veterinary Medicine,272,5.69,55.29,True,2,admitted,"B2, C4, B3, C4, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,267,12.42,61.4,True,1,admitted,"C5, B2, C4, B3, B2"
Veterinary Medicine,Veterinary Medicine,318,28.72,85.67,True,2,admitted,"B3, A1, C4, B3, A1"
Veterinary Medicine,Veterinary Medicine,394,21.69,88.54,True,1,admitted,"A1, B3, B2, B3, B2"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,257,18.98,66.31,True,1,admitted,"B3, B2, B3, C4, C5"
Communication and Information Sciences,Computer Science,395,18.84,84.62,True,2,admitted,"B2, B2, C6, B3, A1"
Life Sciences,Biochemistry,395,25.22,89.8,True,2,admitted,"A1, C4, B3, C6, B3"
Environmental Sciences,Architecture,308,27.78,79.88,True,1,admitted,"C6, C4, C4, A1, C6"
Basic Medical Sciences,Anatomy,281,10.38,60.7,True,2,admitted,"C4, C5, A1, B3, C4"
Social Sciences,Economics,231,18.1,58.58,True,2,admitted,"C4, C4, C6, C6, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,196,6.66,46.76,True,1,not admitted,"B2, C6, B3, C4, A1"
Life Sciences,Microbiology,340,29.58,84.08,True,2,admitted,"C5, C6, C4, C5, C5"
Basic Medical Sciences,Biomedical Science,270,21.2,70.15,True,1,admitted,"C6, B3, C5, A1, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,181,9.65,48.27,True,1,not admitted,"B2, C6, B3, B2, B2"
Clinical Sciences,Nursing Science,326,7.24,63.19,True,2,admitted,"C4, B2, C5, C4, B2"
Agriculture,Home Economics and Food Science,296,20.99,74.79,True,1,admitted,"B2, B3, C5, B2, A1"
Social Sciences,Social Work,303,21.5,73.38,True,2,admitted,"C4, C5, C6, C4, A1"
Clinical Sciences,Nursing Science,312,9.79,62.39,True,1,admitted,"C4, C5, C6, C5, A1"
Arts,Yoruba,295,22.15,71.42,True,2,admitted,"C6, C4, C5, C4, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,143,5.0,36.47,True,2,not admitted,"C4, C5, C4, B2, C6"
Arts,Religions (Christian/Islamic/Comparative),177,1.23,40.55,True,2,not admitted,"A1, B3, A1, A1, C6"
Social Sciences,Geography,192,16.43,55.63,True,1,admitted,"C5, A1, C5, B3, B3"
Management Sciences,Finance,362,4.01,64.86,True,2,admitted,"C6, B3, A1, C4, B2"
Communication and Information Sciences,Library and Information Science,352,19.52,80.32,True,1,admitted,"A1, C4, A1, B3, C4"
Management Sciences,Business Administration,290,18.04,71.09,True,2,admitted,"C5, A1, A1, C4, B2"
Law,Law,193,23.93,63.25,True,1,admitted,"C6, B2, A1, B2, C6"
Life Sciences,Biochemistry,280,4.75,53.75,True,2,admitted,"C4, A1, C6, B3, C6"
Communication and Information Sciences,Computer Science,274,22.56,73.21,True,2,admitted,"A1, B3, B2, B3, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,250,6.32,51.17,True,1,admitted,"B3, C6, C4, C6, B2"
Pharmaceutical Sciences,Pharmacy,355,8.27,67.44,True,2,admitted,"C6, C6, A1, B2, B3"
Communication and Information Sciences,Telecommunication Science,276,3.25,50.95,True,1,admitted,"C6, B2, C6, B3, C5"
Basic Medical Sciences,Physiology,378,19.08,81.13,True,2,admitted,"B2, C6, A1, C5, C4"
Engineering and Technology,Biomedical Engineering,364,1.27,60.77,True,1,admitted,"B3, C5, A1, C5, C6"
Arts,Religions (Christian/Islamic/Comparative),148,27.6,61.3,True,1,not admitted,"C6, C5, A1, B2, B3"
Education,Social Sciences Education,268,18.68,65.38,True,2,admitted,"C4, C5, C6, B3, C4"
Arts,English,312,26.14,79.14,True,1,admitted,"C6, C4, C5, B2, B3"
Law,Law,207,11.19,50.66,True,2,admitted,"C4, B3, C6, B3, C5"
Education,Health Promotion and Environmental Health Education,155,29.79,65.16,True,1,not admitted,"C6, C4, B2, B2, A1"
Clinical Sciences,Nursing Science,145,23.18,56.91,True,1,not admitted,"B2, B3, C4, C5, B2"
Basic Medical Sciences,Physiology,368,5.43,67.03,True,1,admitted,"B2, A1, C5, B3, C5"
Arts,Performing Arts,195,8.25,47.42,True,2,not admitted,"B3, C4, C6, B2, B3"
Management Sciences,Marketing,244,20.02,65.72,True,1,admitted,"A1, C4, C6, A1, C5"
Basic Medical Sciences,Biomedical Science,143,21.53,52.2,True,2,not admitted,"C6, C6, C4, B2, C5"
Social Sciences,Psychology,334,26.1,80.65,True,1,admitted,"C5, C4, C6, C6, B2"
Education,Social Sciences Education,300,24.03,74.73,True,1,admitted,"B3, C5, B3, C5, C6"
Law,Law,163,27.48,65.86,True,1,not admitted,"B2, C4, A1, A1, B2"
Arts,Performing Arts,219,2.34,42.91,True,2,not admitted,"A1, C5, C6, C6, C4"
Pharmaceutical Sciences,Pharmacy,337,4.15,61.47,True,1,admitted,"B3, C6, C4, B2, B2"
Engineering and Technology,Biomedical Engineering,209,6.55,49.07,True,2,not admitted,"A1, B2, C5, B3, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,274,7.24,56.69,True,1,admitted,"C5, A1, C4, C5, B2"
Communication and Information Sciences,Computer Science,256,23.99,71.19,True,2,admitted,"B2, B3, C6, A1, C5"
Engineering and Technology,Civil Engineering,322,15.71,71.16,True,1,admitted,"A1, C6, A1, C6, B3"
Pharmaceutical Sciences,Pharmacy,239,26.65,73.33,True,2,admitted,"B2, B3, A1, B2, C5"
Environmental Sciences,Architecture,179,3.1,40.67,True,1,not admitted,"B3, B2, B3, B3, C6"
Education,Adult and Primary Education,173,21.75,58.98,True,1,not admitted,"C4, A1, A1, C6, C4"
Communication and Information Sciences,Computer Science,218,2.8,43.65,True,1,not admitted,"C4, C5, A1, C6, C5"
Clinical Sciences,Medicine and Surgery,205,23.83,61.05,True,2,admitted,"C5, C6, B3, C6, C6"
Communication and Information Sciences,Information and Communication Science,238,21.24,65.79,True,1,admitted,"C6, B2, C4, C5, A1"
Social Sciences,Psychology,206,6.39,44.14,True,1,not admitted,"C5, C6, C4, C4, C6"
Physical Sciences,Chemistry,348,8.06,63.56,True,1,admitted,"C5, C6, C5, C6, B3"
Basic Medical Sciences,Biomedical Science,283,20.59,71.97,True,2,admitted,"A1, B3, B2, B3, C6"
Arts,English,308,10.5,64.2,True,1,admitted,"C4, C4, A1, C4, C4"
Law,Law,268,23.49,72.99,True,1,admitted,"B2, A1, C5, A1, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,177,23.06,61.59,True,1,not admitted,"C6, B3, A1, B3, A1"
Basic Medical Sciences,Anatomy,176,6.99,42.59,True,1,not admitted,"C4, C5, C4, C4, C4"
Communication and Information Sciences,Computer Science,323,1.18,59.16,True,2,admitted,"C4, A1, B2, B2, B2"
Agriculture,Home Economics and Food Science,157,2.59,38.22,True,2,not admitted,"B3, B2, C5, B3, B2"
Education,Social Sciences Education,293,19.14,70.97,True,2,admitted,"C5, B2, B2, B3, C5"
Communication and Information Sciences,Library and Information Science,370,1.29,61.94,True,1,admitted,"C6, B3, C4, C5, A1"
Arts,Arabic,219,26.53,66.7,True,1,admitted,"C6, C6, C5, C5, A1"
Communication and Information Sciences,Library and Information Science,308,3.52,55.22,True,1,admitted,"C6, C4, C5, B3, C4"
Law,Law,179,27.42,61.8,True,1,not admitted,"B2, C6, C6, C5, C6"
Life Sciences,Microbiology,291,7.48,57.86,True,2,admitted,"C6, B3, A1, C6, C4"
Arts,Yoruba,318,4.56,59.91,True,1,admitted,"B2, C6, A1, C5, B2"
Engineering and Technology,Civil Engineering,303,8.55,61.62,True,1,admitted,"B3, A1, C4, C5, C4"
Social Sciences,Sociology,277,15.7,63.92,True,2,admitted,"C5, A1, C5, C4, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,364,18.83,79.13,True,2,admitted,"C6, B3, C5, B3, A1"
Arts,Performing Arts,230,13.07,57.42,True,1,admitted,"B2, C5, B2, B3, C4"
Social Sciences,Psychology,335,21.36,78.44,True,2,admitted,"C5, C5, B2, B2, B3"
Pharmaceutical Sciences,Pharmacy,304,5.08,60.68,True,2,admitted,"B2, A1, B2, C4, B2"
Arts,French,240,23.56,68.36,True,1,admitted,"B3, C4, C4, C6, A1"
Environmental Sciences,Surveying and Geo-informatics,180,5.52,43.22,True,2,not admitted,"C5, B2, C6, B3, A1"
Life Sciences,Plant Biology,208,17.28,58.08,True,1,admitted,"C6, B2, C4, B3, B3"
Management Sciences,Marketing,159,7.1,44.17,True,1,not admitted,"C5, A1, C4, A1, A1"
Physical Sciences,Geophysics,265,16.94,65.66,True,1,admitted,"C4, B3, B2, C6, A1"
Management Sciences,Industrial Relations and Personnel Management,333,28.37,83.59,True,2,admitted,"C6, C4, C4, C6, A1"
Physical Sciences,Geology,231,19.86,63.94,True,1,admitted,"C5, B3, B2, A1, C6"
Physical Sciences,Geophysics,320,28.01,82.81,True,2,admitted,"C5, A1, C6, B3, B3"
Arts,Linguistics and Nigerian Languages,199,8.18,48.25,True,1,not admitted,"A1, C4, C4, B2, C6"
Communication and Information Sciences,Telecommunication Science,400,4.92,70.92,True,1,admitted,"B2, B2, B3, B3, C5"
Environmental Sciences,Estate Management,269,10.83,61.25,True,2,admitted,"C5, C5, A1, A1, A1"
Law,Law,180,21.93,57.63,True,1,admitted,"C5, C5, B3, C4, C5"
Physical Sciences,Physics,221,9.63,52.45,True,1,admitted,"B2, C4, C6, A1, C4"
Law,Law,273,0.62,49.14,True,1,not admitted,"C5, C4, B2, C6, B2"
Life Sciences,Plant Biology,274,25.29,71.94,True,2,admitted,"C6, C5, C6, C5, B2"
Management Sciences,Industrial Relations and Personnel Management,241,29.24,75.36,True,2,admitted,"B3, B3, C4, A1, C4"
Life Sciences,Microbiology,295,13.89,63.16,True,1,admitted,"C5, C4, C5, C4, C6"
Basic Medical Sciences,Biomedical Science,383,22.15,88.43,True,1,admitted,"C4, A1, A1, B2, A1"
Pharmaceutical Sciences,Pharmacy,362,10.53,68.58,True,1,admitted,"C6, B3, C4, C6, C4"
Management Sciences,Accounting,176,15.04,50.64,True,2,not admitted,"B2, C4, C5, C4, C6"
Physical Sciences,Mathematics,207,8.68,50.15,True,1,admitted,"B2, B2, B2, C5, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,343,26.89,85.77,True,2,admitted,"C4, B2, C4, B2, B3"
Environmental Sciences,Quantity Surveying,400,11.78,78.18,True,2,admitted,"C5, B3, A1, C4, A1"
Veterinary Medicine,Veterinary Medicine,225,1.9,43.62,True,1,not admitted,"C5, C6, B2, C4, C4"
Pharmaceutical Sciences,Pharmacy,181,6.41,44.23,True,2,not admitted,"B2, C4, B2, C5, C4"
Veterinary Medicine,Veterinary Medicine,243,15.16,59.14,True,1,admitted,"C4, B2, C6, C6, B3"
Physical Sciences,Geology,369,12.84,76.97,True,2,admitted,"B2, A1, C5, A1, A1"
Basic Medical Sciences,Anatomy,355,7.1,68.28,True,2,admitted,"B2, B2, A1, C6, B2"
Education,Educational Management,191,23.52,65.0,True,2,admitted,"C4, A1, B2, B2, B2"
Arts,History and International Studies,289,10.1,61.42,True,1,admitted,"C4, C4, C4, B3, B2"
Social Sciences,Economics,225,7.73,48.25,True,2,not admitted,"C6, C5, C5, B2, C6"
Law,Law,363,14.38,75.36,True,2,admitted,"A1, B2, C5, C4, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,337,0.9,57.42,True,1,admitted,"A1, B3, C5, C4, C6"
Veterinary Medicine,Veterinary Medicine,370,26.79,89.44,True,2,admitted,"B3, B2, B3, C4, B2"
Life Sciences,Biochemistry,389,2.91,67.53,True,1,admitted,"C5, B2, C4, A1, B3"
Pharmaceutical Sciences,Pharmacy,242,10.53,57.18,True,2,admitted,"A1, C4, B2, C4, B3"
Arts,Yoruba,297,15.11,68.63,True,1,admitted,"A1, B3, C6, B3, A1"
Veterinary Medicine,Veterinary Medicine,316,4.61,57.71,True,1,admitted,"B3, C4, C6, B2, C6"
Clinical Sciences,Medicine and Surgery,365,1.19,60.81,True,1,admitted,"C6, B2, B3, C4, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,344,3.5,58.1,True,2,admitted,"C5, C6, C6, C6, B3"
Social Sciences,Political Science,265,4.66,54.98,True,1,admitted,"A1, A1, A1, C5, C4"
Arts,French,342,23.66,82.41,True,2,admitted,"B2, B2, C5, B2, C4"
Veterinary Medicine,Veterinary Medicine,272,8.77,57.57,True,2,admitted,"C6, B3, C4, A1, C4"
Arts,Performing Arts,275,14.13,60.51,True,1,admitted,"C5, C6, C6, C6, B2"
Education,Human Kinetics Education,370,10.73,72.18,True,1,admitted,"B3, C4, B3, B3, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,176,19.93,59.53,True,2,not admitted,"C4, A1, B3, A1, B2"
Engineering and Technology,Chemical Engineering,152,11.57,46.97,True,1,not admitted,"B2, A1, C5, A1, C5"
Veterinary Medicine,Veterinary Medicine,257,20.19,67.11,True,2,admitted,"A1, C5, C4, B3, C5"
Social Sciences,Economics,192,20.77,59.97,True,1,admitted,"B2, B2, C4, B3, C6"
Management Sciences,Public Administration,270,10.92,58.27,True,1,admitted,"C5, C6, C4, B2, C4"
Physical Sciences,Geophysics,313,14.64,67.36,True,1,admitted,"B3, C5, B3, C6, C4"
Communication and Information Sciences,Library and Information Science,254,1.27,47.42,True,2,not admitted,"C6, C5, C4, B2, B2"
Social Sciences,Sociology,162,16.96,55.61,True,1,not admitted,"B3, A1, B2, A1, B2"
Law,Law,234,11.17,55.62,True,2,admitted,"C5, B2, C6, B2, B2"
Social Sciences,Social Work,238,10.85,53.0,True,2,admitted,"C5, C6, C5, C4, C4"
Management Sciences,Public Administration,309,23.89,74.92,True,2,admitted,"C4, C6, B3, C6, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,234,12.83,60.08,True,1,admitted,"B2, B2, A1, B2, B3"
Agriculture,Aquaculture and Fisheries,211,0.95,39.73,True,2,not admitted,"C5, C5, B2, C6, C6"
Law,Law,210,23.52,65.77,True,2,admitted,"B3, C5, C4, A1, B2"
Clinical Sciences,Medicine and Surgery,246,15.7,60.45,True,1,admitted,"C6, C4, C6, A1, B3"
Basic Medical Sciences,Anatomy,207,7.54,48.22,True,2,not admitted,"C6, B2, C6, A1, B3"
Pharmaceutical Sciences,Pharmacy,250,29.14,74.39,True,2,admitted,"B2, C5, C4, C6, B3"
Communication and Information Sciences,Telecommunication Science,254,15.04,60.79,True,2,admitted,"B3, C6, C6, C4, A1"
Engineering and Technology,Food & Bioprocess Engineering,364,5.85,64.55,True,2,admitted,"C4, C5, C6, C6, A1"
Clinical Sciences,Medicine and Surgery,263,7.81,53.48,True,2,admitted,"C4, C4, B3, C6, C6"
Management Sciences,Accounting,308,1.42,52.72,True,2,admitted,"C6, C5, B3, C5, C4"
Clinical Sciences,Nursing Science,148,28.91,61.41,True,2,not admitted,"C4, B3, C5, C5, B3"
Pharmaceutical Sciences,Pharmacy,306,20.63,73.28,True,2,admitted,"C5, B3, B3, B3, C5"
Life Sciences,Zoology,191,27.57,67.84,True,2,admitted,"A1, C5, A1, C4, B3"
Communication and Information Sciences,Information and Communication Science,307,24.79,75.16,True,1,admitted,"B3, C5, C6, C5, C6"
Arts,Arabic,218,25.19,68.84,True,1,admitted,"C4, C5, B2, B2, A1"
Clinical Sciences,Medicine and Surgery,392,7.59,70.59,True,1,admitted,"C6, A1, B3, C5, C5"
Social Sciences,Social Work,285,9.17,62.4,True,1,admitted,"A1, B2, C4, B3, A1"
Veterinary Medicine,Veterinary Medicine,145,19.13,52.45,True,1,not admitted,"C5, C4, A1, C4, B3"
Basic Medical Sciences,Anatomy,334,21.53,80.48,True,1,admitted,"C6, A1, A1, B3, A1"
Life Sciences,Microbiology,356,21.27,82.17,True,1,admitted,"C4, A1, B3, C4, B2"
Engineering and Technology,Water Resources & Environmental Engineering,266,0.89,52.14,True,1,admitted,"C4, B2, A1, B2, A1"
Veterinary Medicine,Veterinary Medicine,231,7.56,52.44,True,1,admitted,"A1, C6, B3, B2, B3"
Arts,Yoruba,307,27.12,79.09,True,1,admitted,"C5, C6, C6, B2, B2"
Pharmaceutical Sciences,Pharmacy,301,12.34,65.17,True,2,admitted,"A1, B2, B2, C6, C6"
Life Sciences,Plant Biology,380,10.91,73.21,True,1,admitted,"C6, C5, A1, C5, A1"
Education,Counsellor Education,386,8.13,69.98,True,2,admitted,"C6, B3, B3, C5, C4"
Arts,Linguistics and Nigerian Languages,145,3.81,37.53,True,1,not admitted,"B3, B3, C6, B2, B2"
Law,Law,398,13.72,79.07,True,2,admitted,"C6, C4, B2, B2, B2"
Engineering and Technology,Chemical Engineering,163,23.41,58.18,True,2,not admitted,"C5, B2, A1, C5, C6"
Engineering and Technology,Computer Engineering,150,23.45,56.2,True,1,not admitted,"C5, C4, C5, C5, A1"
Agriculture,Agricultural Extension and Rural Development,365,5.95,65.58,True,2,admitted,"B2, B2, C5, C5, C6"
Agriculture,Forest Resources Management,226,23.63,64.68,True,2,admitted,"C6, C6, B2, C6, B3"
Pharmaceutical Sciences,Pharmacy,285,18.25,67.88,True,2,admitted,"B3, C5, B3, C4, C5"
Law,Law,370,11.63,75.88,True,2,admitted,"C4, A1, B2, B2, A1"
Arts,Performing Arts,355,14.36,75.13,True,1,admitted,"A1, C5, B2, B3, B3"
Arts,English,392,23.11,87.31,True,1,admitted,"A1, C4, C4, C5, B3"
Education,Adult and Primary Education,238,3.84,51.99,True,2,admitted,"A1, B2, B2, B3, A1"
Management Sciences,Industrial Relations and Personnel Management,291,25.21,75.59,True,2,admitted,"C5, B3, C6, C4, B2"
Social Sciences,Political Science,197,15.59,53.41,True,2,admitted,"C6, B2, C5, C5, C4"
Veterinary Medicine,Veterinary Medicine,334,10.53,67.88,True,2,admitted,"C4, B3, B3, B2, C4"
Pharmaceutical Sciences,Pharmacy,280,25.7,75.9,True,1,admitted,"B2, C5, B3, C4, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,318,20.55,74.3,True,1,admitted,"B2, C5, C5, C4, C4"
Life Sciences,Plant Biology,223,10.07,52.75,True,2,admitted,"C4, B3, C4, C5, B2"
Agriculture,Crop Protection,174,1.38,36.33,True,1,not admitted,"C5, B3, B2, C6, C6"
Management Sciences,Marketing,243,17.45,61.83,True,1,admitted,"C4, A1, C6, B3, C6"
Agriculture,Agricultural Extension and Rural Development,377,14.91,73.23,True,2,admitted,"B3, C6, C6, C6, C6"
