<<<<<<< HEAD
faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Scool of Transport,Logistics and Supply Chain Management,150,53.75,True,not admitted,"B2, B3, C6, B3, C6"
Science,Microbiology,273,66.12,True,admitted,"C5, C5, B2, C5, C6"
Arts,Linguistics,319,78.88,False,not admitted,"B3, A1, B3, C4, C5"
Management Sciences,Local Government Development and Administration,310,73.75,False,not admitted,"C6, B3, C4, C5, B2"
Scool of Transport,Logistics and Supply Chain Management,337,77.12,True,admitted,"B3, A1, C6, C4, C6"
Science,Physics,312,79.0,True,admitted,"A1, C5, A1, B3, C5"
Engineering,Chemical Engineering,276,72.5,True,admitted,"A1, C5, B3, B3, C5"
Engineering,Industrial Enginerring,147,52.38,True,not admitted,"C5, C4, B3, C5, C4"
Scool of Library Archival and Information Science,Library and information Science,190,64.75,True,not admitted,"C4, B2, B3, B3, B2"
Science,Zoology,368,87.0,True,admitted,"C5, B2, A1, C4, B2"
Education,Educational Management,152,55.0,False,not admitted,"C5, C4, C5, B2, B3"
Scool of Transport,Transport Management and Operations,332,80.5,False,not admitted,"C6, B3, B3, B3, A1"
Communication and Media Studies,Mass Communication,229,66.62,False,not admitted,"B2, B2, C4, B3, C6"
Education,Geography Education,171,64.38,False,not admitted,"C4, B2, B2, A1, B3"
Law,Common/Civil Law,293,71.62,True,admitted,"C6, C4, B2, C6, B2"
Law,Common/Civil Law,289,71.12,True,admitted,"A1, B3, C4, C6, C6"
Scool of Transport,Logistics and Supply Chain Management,198,59.75,True,admitted,"B3, B2, C4, C6, C5"
Communication and Media Studies,Mass Communication,165,52.62,True,not admitted,"C5, C4, C4, C6, C4"
Education,Business Education,372,89.5,False,not admitted,"C5, A1, A1, B3, B2"
Scool of Transport,Logistics and Supply Chain Management,185,61.12,True,not admitted,"B3, C5, B3, B3, B3"
Scool of Transport,Transport Management and Operations,167,60.88,False,not admitted,"B2, B3, B3, C5, B2"
Science,Fisheries and Aquatic Biology,304,79.0,True,admitted,"C6, A1, C4, A1, B2"
Science,Physics,235,62.38,True,admitted,"C6, C5, C5, B3, B3"
Environmental Science,Architecture,365,86.62,True,admitted,"A1, B3, C5, C4, A1"
College of MEdicine,Pharmacology,385,86.12,True,admitted,"C5, C4, A1, C6, A1"
Arts,Linguistics,383,84.88,False,not admitted,"A1, B3, C6, C6, B2"
Scool of Library Archival and Information Science,Library and information Science,154,60.25,True,not admitted,"B2, B3, B3, B3, B3"
Agriculture,Crop Production,321,74.12,True,admitted,"C4, C5, B2, C4, C6"
Agriculture,Animal Science,333,79.62,False,not admitted,"B3, C5, C4, A1, C4"
Social Sciences,Sociology,363,90.38,True,admitted,"B2, B2, B3, B2, A1"
Education,Physics Education,367,81.88,True,admitted,"B3, B3, C4, C6, B3"
Scool of Transport,Transport Management and Operations,297,77.12,False,not admitted,"B3, C4, B2, A1, C5"
Arts,French,391,86.88,True,admitted,"B3, B3, C4, A1, C6"
Science,Fisheries and Aquatic Biology,271,66.88,True,admitted,"A1, C6, B3, C6, C6"
Scool of Transport,Logistics and Supply Chain Management,331,73.38,True,admitted,"C4, C5, B3, C5, C6"
Social Sciences,Political Science,345,81.12,True,admitted,"C4, B3, B3, C5, B2"
Management Sciences,Marketing,380,84.5,True,admitted,"C6, A1, A1, C6, C4"
Scool of Library Archival and Information Science,Library and information Science,194,64.25,True,not admitted,"B2, B3, B2, B3, C5"
College of MEdicine,Medicine & Surgery,192,63.0,False,not admitted,"B3, C6, B3, B2, B2"
Scool of Transport,Transport Management and Operations,242,70.25,True,admitted,"B2, B3, C5, C4, A1"
Environmental Science,Industrial Design,152,56.0,True,not admitted,"C5, C4, B2, B3, C4"
Communication and Media Studies,Mass Communication,304,78.0,True,admitted,"C6, B3, A1, B3, B2"
Agriculture,Crop Production,191,60.88,True,not admitted,"C5, B2, C6, B2, B3"
Environmental Science,Building,266,74.25,False,not admitted,"A1, B3, B3, C4, B3"
Communication and Media Studies,Mass Communication,310,76.75,True,admitted,"B3, B3, B2, C4, C5"
Management Sciences,Project Management,384,82.0,False,not admitted,"C5, B2, C4, C5, C5"
Education,Geography Education,298,75.25,True,admitted,"C6, B3, B3, B2, B3"
Environmental Science,Urban and Regional Planning,293,68.62,True,admitted,"B3, C5, C5, C6, C4"
Law,Common/Civil Law,236,70.5,True,admitted,"B2, B2, B3, A1, C6"
Arts,Peace Studies,355,81.38,False,not admitted,"B3, C5, B3, C5, B2"
Education,Early Childhood Education,320,80.0,False,not admitted,"C6, B3, B2, B2, B2"
College of MEdicine,Nursing,144,62.0,True,not admitted,"B2, B3, A1, A1, C4"
Scool of Transport,Logistics and Supply Chain Management,326,77.75,False,not admitted,"B2, B3, C4, C6, B3"
Law,Common/Civil Law,288,76.0,False,not admitted,"B3, C6, B3, B2, A1"
Engineering,Chemical Engineering,176,49.0,True,not admitted,"C6, C6, C4, C6, C6"
Agriculture,Crop Production,158,58.75,True,not admitted,"C5, A1, C4, A1, C5"
Engineering,Mechanical Engineering,165,55.62,True,not admitted,"C5, C5, C4, C4, B2"
College of MEdicine,Pharmacology,162,62.25,True,not admitted,"A1, C4, C4, A1, B3"
Education,Educational Management,259,79.38,False,not admitted,"B3, A1, A1, B2, A1"
Education,Physics Education,160,54.0,True,not admitted,"C4, C4, B3, C6, C4"
Education,Yoruba Education,312,80.0,False,not admitted,"A1, C5, B2, B2, C4"
Science,Chemistry,354,79.25,True,admitted,"C4, B2, C4, C5, C5"
Environmental Science,Industrial Design,222,66.75,False,not admitted,"C5, C4, B3, B2, B2"
Agriculture,Animal Science,258,72.25,True,admitted,"C6, A1, C4, A1, B3"
Engineering,Aeronautical and Astronautical Engineering,398,88.75,False,not admitted,"C6, A1, B2, B2, C5"
Education,Economics Education,161,55.12,True,not admitted,"A1, B2, C6, C6, C5"
Environmental Science,Quantity Surveying,188,60.5,True,not admitted,"C4, A1, C5, C5, B3"
Scool of Transport,Transport Management and Operations,317,74.62,True,admitted,"C5, C5, C6, B3, A1"
Scool of Library Archival and Information Science,Library and information Science,352,71.0,True,admitted,"C6, C6, C6, C4, C6"
Arts,Christian Religious Studies,158,57.75,True,not admitted,"B3, C5, C6, A1, B2"
Arts,Theatre Arts,153,56.12,True,not admitted,"B3, C4, C4, A1, C6"
Communication and Media Studies,Mass Communication,148,56.5,True,not admitted,"B2, C4, C4, C5, B2"
Scool of Library Archival and Information Science,Library and information Science,186,59.25,True,not admitted,"C4, C5, C4, C4, B2"
Law,Common/Islamic Law,140,53.5,False,not admitted,"B3, B3, A1, C6, C6"
Arts,Peace Studies,247,70.88,True,admitted,"C6, B3, B2, B3, A1"
Environmental Science,Fine Arts,310,76.75,True,admitted,"C5, B2, B3, B3, C4"
Management Sciences,Marketing,250,68.25,False,not admitted,"C6, C4, A1, C4, B3"
Education,Arabic Education,168,66.0,True,not admitted,"B2, C4, B2, A1, A1"
Scool of Transport,Logistics and Supply Chain Management,169,62.12,True,not admitted,"A1, B2, C5, C4, B2"
Communication and Media Studies,Mass Communication,375,90.88,True,admitted,"A1, B3, B3, B2, B2"
Scool of Transport,Transport Management and Operations,375,89.88,True,admitted,"B2, B2, A1, C4, B3"
Science,Botany,384,81.0,True,admitted,"C4, C6, C4, C6, B2"
Arts,Music,267,77.38,True,admitted,"C4, B2, B2, B2, A1"
Education,Physics Education,352,75.0,False,not admitted,"C4, C6, C6, C4, C4"
Scool of Library Archival and Information Science,Library and information Science,274,73.25,False,not admitted,"B2, C6, B2, C5, A1"
Social Sciences,Political Science,122,57.25,True,not admitted,"A1, B2, C4, C5, A1"
Social Sciences,Sociology,174,51.75,False,not admitted,"C6, C5, C4, C6, C4"
Engineering,Chemical Engineering,150,57.75,True,not admitted,"B2, B2, C6, B2, C4"
College of MEdicine,Pharmacology,223,63.88,True,admitted,"A1, C4, C6, C6, B2"
Engineering,Industrial Enginerring,384,89.0,True,admitted,"B3, C4, A1, B2, C4"
Environmental Science,Urban and Regional Planning,380,83.5,True,admitted,"A1, C6, C4, C5, B3"
Scool of Transport,Transport Management and Operations,154,57.25,True,not admitted,"C4, A1, B3, C4, C5"
Science,Biochemistry,138,54.25,False,not admitted,"C4, C4, A1, C4, C5"
Agriculture,Agricultural Economics,313,71.12,True,admitted,"C6, C6, B2, C6, B3"
Education,Islamic Studies Education,174,65.75,True,not admitted,"A1, A1, B3, C4, B2"
Scool of Library Archival and Information Science,Library and information Science,239,57.88,True,admitted,"C5, C6, C5, C6, C5"
College of MEdicine,Pharmacology,244,68.5,True,admitted,"B3, B3, C5, B3, B3"
College of MEdicine,Nursing,200,59.0,True,admitted,"B2, B3, C6, C5, C5"
Arts,Linguistics,315,73.38,True,admitted,"C6, C4, C5, B2, C4"
Engineering,Electronic and Computer Engineering,146,65.25,True,not admitted,"B3, A1, A1, B2, A1"
Scool of Transport,Transport Management and Operations,304,75.0,False,not admitted,"C5, C5, C4, A1, B3"
Communication and Media Studies,Mass Communication,210,65.25,False,not admitted,"C5, A1, C5, B2, B3"
Environmental Science,Urban and Regional Planning,148,61.5,True,not admitted,"B3, B3, A1, A1, C4"
Arts,History and International studies,300,75.5,True,admitted,"B2, C4, B3, C5, B3"
Environmental Science,Architecture,210,59.25,True,admitted,"C5, C5, C6, C4, B2"
Education,Chemistry Education,158,56.75,False,not admitted,"A1, B2, C5, C5, C5"
Communication and Media Studies,Mass Communication,161,66.12,False,not admitted,"B2, C4, A1, A1, A1"
Education,Physical & Health Education,203,65.38,False,not admitted,"A1, C4, C4, B3, B3"
Communication and Media Studies,Mass Communication,234,66.25,False,not admitted,"C6, B3, C5, A1, B3"
Arts,Linguistics,323,81.38,True,admitted,"C4, A1, B2, C5, B2"
Engineering,Chemical Engineering,185,65.12,True,not admitted,"C6, C4, A1, A1, A1"
Communication and Media Studies,Mass Communication,308,78.5,True,admitted,"B2, B2, B3, C6, B2"
Environmental Science,Environmental Management,188,67.5,True,not admitted,"C4, A1, A1, C4, A1"
Scool of Transport,Transport Management and Operations,308,76.5,True,admitted,"B2, C6, A1, B2, C6"
Education,Yoruba Education,248,69.0,True,admitted,"C6, B3, B2, B3, B3"
Communication and Media Studies,Mass Communication,185,53.12,False,not admitted,"B3, C5, C6, C5, C6"
Arts,Theatre Arts,262,69.75,True,admitted,"B2, C5, C4, C5, B2"
Law,Common/Islamic Law,364,81.5,True,admitted,"A1, C5, B3, C6, C4"
Management Sciences,Marketing,346,79.25,False,not admitted,"B3, C4, B2, C4, C6"
Social Sciences,Psychology,312,76.0,False,not admitted,"B3, C6, A1, B3, C5"
Scool of Transport,Logistics and Supply Chain Management,286,73.75,True,admitted,"C6, C5, A1, A1, C4"
Social Sciences,Geography and Planning,299,76.38,True,admitted,"B2, B2, C5, B3, C4"
Scool of Library Archival and Information Science,Library and information Science,243,64.38,True,admitted,"C5, C5, B3, B3, C5"
Education,Yoruba Education,391,94.88,True,admitted,"B3, B2, A1, B2, A1"
Arts,English Language,228,68.5,True,admitted,"A1, B2, B3, C4, C5"
Arts,Islamic Studies,400,84.0,True,admitted,"C5, B2, C5, C4, C5"
Agriculture,Animal Science,176,57.0,True,not admitted,"C5, C4, C5, C5, A1"
Social Sciences,Geography and Planning,394,83.25,True,admitted,"C4, C4, C6, C5, B2"
Education,Geography Education,350,86.75,False,not admitted,"B3, B2, B2, C4, A1"
Agriculture,Crop Production,323,81.38,False,not admitted,"C5, B2, C4, B2, A1"
Agriculture,Agricultural Extension & Rural Development,260,68.5,True,admitted,"C6, B2, C4, B2, C5"
Social Sciences,Psychology,131,52.38,False,not admitted,"B2, B3, B3, C6, C5"
Social Sciences,Sociology,272,73.0,True,admitted,"C6, B2, A1, C5, B2"
Scool of Transport,Transport Management and Operations,260,72.5,True,admitted,"C4, C5, A1, B2, B3"
Environmental Science,Building,206,61.75,True,admitted,"C4, B2, C4, C6, B3"
Management Sciences,Industrial Relations and Human Resouce Management,135,53.88,True,not admitted,"C4, C6, A1, C4, B3"
Engineering,Industrial Enginerring,208,59.0,True,admitted,"C6, C5, A1, C6, C4"
Education,Computer Science Education,151,51.88,True,not admitted,"C4, C6, C5, B2, C5"
Environmental Science,Urban and Regional Planning,170,55.25,True,not admitted,"C6, C4, C5, A1, C5"
College of MEdicine,Pharmacology,323,82.38,True,admitted,"B3, C4, A1, C4, A1"
Law,Common/Islamic Law,150,47.75,False,not admitted,"C4, C6, C6, C5, C5"
Social Sciences,Psychology,174,63.75,True,not admitted,"C5, B2, A1, A1, C4"
Education,Physical & Health Education,300,74.5,True,admitted,"C6, A1, C6, B3, B2"
Education,Physics Education,145,52.12,True,not admitted,"C5, B2, C4, C5, C5"
College of MEdicine,Radiography & Radiation Science,379,84.38,True,admitted,"C4, C4, B2, C6, B2"
Arts,History and International studies,390,89.75,True,admitted,"B2, A1, A1, C4, C6"
Environmental Science,Industrial Design,399,89.88,True,admitted,"B3, C4, A1, B3, C4"
Education,Technology & Vocational Education,312,78.0,True,admitted,"A1, B2, C4, C5, C4"
Education,Islamic Studies Education,276,70.5,False,not admitted,"B3, C6, B3, C4, B3"
Environmental Science,Environmental Management,285,76.62,True,admitted,"C5, B2, C4, A1, B2"
Engineering,Mechanical Engineering,288,76.0,True,admitted,"B2, B2, C6, B3, B2"
Communication and Media Studies,Mass Communication,222,67.75,True,admitted,"B2, B3, B3, A1, C6"
Education,Guidance & Counselling,280,74.0,False,not admitted,"C5, C6, A1, A1, B3"
Engineering,Aeronautical and Astronautical Engineering,337,78.12,True,admitted,"C5, A1, C4, C5, C4"
Social Sciences,Sociology,139,53.38,True,not admitted,"C4, C4, C6, A1, C4"
Arts,Peace Studies,194,58.25,False,not admitted,"C4, C4, C5, B2, C6"
Education,Arabic Education,155,57.38,True,not admitted,"C4, A1, C5, C6, A1"
Scool of Transport,Logistics and Supply Chain Management,226,66.25,True,admitted,"A1, C6, B3, C6, A1"
Arts,History and International studies,308,76.5,True,admitted,"C4, C4, B2, B2, C5"
Law,Common/Civil Law,134,52.75,True,not admitted,"B3, C6, B2, C5, B3"
Scool of Library Archival and Information Science,Library and information Science,373,80.62,True,admitted,"C4, C4, C6, A1, C6"
Arts,Music,350,82.75,False,not admitted,"C5, C6, B2, A1, B2"
Science,Physics,301,77.62,True,admitted,"B2, A1, C5, A1, C6"
Science,Science Laboratory Technology,375,86.88,True,admitted,"C5, B3, B2, B3, B2"
Management Sciences,Banking and Finance,152,53.0,True,not admitted,"C4, C4, C4, C4, C5"
Agriculture,Agricultural Extension & Rural Development,268,78.5,False,not admitted,"A1, B3, B3, B2, A1"
Scool of Library Archival and Information Science,Library and information Science,271,72.88,True,admitted,"C5, A1, C4, C5, A1"
Engineering,Chemical Engineering,280,77.0,True,admitted,"C4, B2, B3, B3, A1"
College of MEdicine,Medicine & Surgery,275,73.38,True,admitted,"B2, B2, B3, C5, C4"
Engineering,Civil Engineering,342,84.75,True,admitted,"C4, B2, C5, A1, A1"
Arts,Portuguese / English,219,57.38,True,admitted,"C6, C5, B2, C6, C6"
Law,Common/Islamic Law,355,79.38,True,admitted,"C4, B3, C6, A1, C6"
Communication and Media Studies,Mass Communication,203,61.38,False,not admitted,"C4, B3, C4, B3, C5"
Education,Islamic Studies Education,235,67.38,True,admitted,"C5, A1, B2, C6, B3"
Education,Business Education,162,59.25,True,not admitted,"C5, B2, A1, C5, B3"
Scool of Library Archival and Information Science,Library and information Science,261,72.62,True,admitted,"A1, B3, A1, C6, C4"
Social Sciences,Economics,133,54.62,True,not admitted,"B2, B3, B3, C4, C5"
Law,Common/Civil Law,344,78.0,True,admitted,"C5, C6, B2, A1, C6"
Science,Microbiology,183,66.88,False,not admitted,"B2, A1, B3, B3, B2"
Communication and Media Studies,Mass Communication,286,70.75,True,admitted,"C6, C5, A1, C4, C4"
Engineering,Chemical Engineering,183,55.88,False,not admitted,"B2, B3, C6, C6, C5"
Scool of Transport,Transport Management and Operations,182,58.75,True,not admitted,"B2, C6, A1, C6, C4"
Arts,Linguistics,249,62.12,False,not admitted,"C6, C5, C6, C5, B2"
Education,Yoruba Education,391,84.88,True,admitted,"B2, C5, B2, C6, C4"
Education,Physics Education,122,60.25,True,not admitted,"B3, A1, C4, A1, A1"
Management Sciences,Accounting,228,68.5,False,not admitted,"A1, C6, B2, A1, C5"
Social Sciences,Psychology,336,78.0,False,not admitted,"B2, C5, C5, C6, A1"
Communication and Media Studies,Mass Communication,262,67.75,True,admitted,"C6, C5, B3, C4, B2"
Law,Common/Civil Law,207,60.88,True,admitted,"B3, C6, C5, A1, C5"
Education,Yoruba Education,186,63.25,False,not admitted,"B2, B3, A1, B3, C6"
Law,Common/Civil Law,397,80.62,False,not admitted,"C5, B2, C5, C6, C6"
Law,Common/Islamic Law,304,74.0,True,admitted,"A1, C6, C4, B2, C6"
Law,Common/Islamic Law,120,56.0,True,not admitted,"C5, B3, A1, B3, B2"
College of MEdicine,Physiotherapy,178,54.25,True,not admitted,"C5, C5, C6, C4, B3"
Environmental Science,Quantity Surveying,334,75.75,True,admitted,"B2, B3, C6, C6, C4"
Scool of Library Archival and Information Science,Library and information Science,262,72.75,True,admitted,"B3, C5, B3, B3, A1"
Agriculture,Crop Production,215,64.88,True,admitted,"C4, C4, C5, B3, A1"
Science,Science Laboratory Technology,397,88.62,False,not admitted,"C6, C4, A1, C4, A1"
Scool of Library Archival and Information Science,Library and information Science,308,70.5,True,admitted,"C6, C4, C5, B2, C6"
Environmental Science,Urban and Regional Planning,151,54.88,False,not admitted,"A1, C5, C5, C6, B2"
Law,Common/Civil Law,393,91.12,False,not admitted,"A1, A1, B3, C6, B2"
Arts,English Language,121,58.12,False,not admitted,"B3, A1, B2, C5, A1"
Arts,Philosophy,305,80.12,True,admitted,"B2, A1, A1, C6, B3"
Scool of Library Archival and Information Science,Library and information Science,272,76.0,False,not admitted,"A1, C4, A1, B3, C4"
College of MEdicine,Dentistry,164,54.5,False,not admitted,"C5, B3, C6, C5, B2"
Arts,Philosophy,175,57.88,True,not admitted,"B3, A1, C6, B3, C6"
Education,Christian Religious Studies Education,174,64.75,True,not admitted,"A1, B2, B3, B2, C4"
Arts,Theatre Arts,292,77.5,True,admitted,"B3, B3, B3, A1, C4"
Social Sciences,Psychology,215,63.88,False,not admitted,"C5, C4, C5, B3, A1"
College of MEdicine,Physiotherapy,279,75.88,True,admitted,"C6, B2, B3, A1, B2"
Agriculture,Animal Science,194,61.25,True,not admitted,"A1, C5, C4, C4, C4"
Scool of Library Archival and Information Science,Library and information Science,323,71.38,False,not admitted,"B2, C6, C6, C6, C4"
Arts,Linguistics,316,80.5,True,admitted,"C5, A1, B3, C4, A1"
Agriculture,Crop Production,369,85.12,False,not admitted,"B3, C4, C4, A1, C4"
Arts,Philosophy,179,61.38,False,not admitted,"B3, C4, C5, B2, B2"
Communication and Media Studies,Mass Communication,271,70.88,True,admitted,"A1, C6, C4, C6, A1"
Arts,Peace Studies,173,56.62,True,not admitted,"C5, C6, A1, B2, C6"
Environmental Science,Urban and Regional Planning,228,64.5,False,not admitted,"C4, B3, C4, C6, B2"
Social Sciences,Political Science,336,80.0,True,admitted,"B2, C5, B3, B2, C5"
Science,Physics,286,76.75,True,admitted,"B2, C5, B2, C4, A1"
Environmental Science,Industrial Design,275,71.38,False,not admitted,"C5, C4, C4, B2, B3"
Scool of Library Archival and Information Science,Library and information Science,383,92.88,True,admitted,"A1, A1, A1, B2, C5"
Social Sciences,Political Science,194,67.25,True,not admitted,"B2, C4, A1, A1, C4"
Communication and Media Studies,Mass Communication,323,76.38,True,admitted,"B3, C5, C4, C6, A1"
College of MEdicine,Medical Laboratory Science,282,75.25,False,not admitted,"A1, C6, B2, C4, B2"
Agriculture,Animal Science,278,77.75,False,not admitted,"B2, C4, B3, B2, A1"
Communication and Media Studies,Mass Communication,251,66.38,True,admitted,"C5, C4, C6, B2, B3"
Social Sciences,Economics,141,58.62,True,not admitted,"A1, C4, B2, A1, C6"
Environmental Science,Environmental Management,324,82.5,True,admitted,"A1, C4, A1, C4, B3"
Science,Microbiology,375,88.88,True,admitted,"B2, C4, A1, A1, C5"
Engineering,Chemical Engineering,188,60.5,True,not admitted,"C6, C4, A1, C4, B3"
Social Sciences,Political Science,330,81.25,False,not admitted,"C4, B2, B3, A1, C5"
Agriculture,Crop Production,378,86.25,True,admitted,"B3, C5, C4, A1, B3"
Arts,Arabic,193,56.12,False,not admitted,"C5, C4, C4, C6, C4"
Arts,Yoruba,146,59.25,True,not admitted,"A1, C4, C6, A1, B2"
Environmental Science,Quantity Surveying,320,79.0,False,not admitted,"C5, A1, A1, C5, C4"
Agriculture,Agricultural Economics,162,65.25,True,not admitted,"C4, B2, A1, B2, A1"
Engineering,Industrial Enginerring,345,85.12,True,admitted,"A1, C5, B2, C4, A1"
Education,Technology & Vocational Education,158,56.75,True,not admitted,"C4, C5, B2, C4, B3"
Law,Common/Civil Law,263,71.88,True,admitted,"C4, A1, C5, A1, C5"
Education,Geography Education,170,58.25,True,not admitted,"B2, A1, C4, C6, C5"
Management Sciences,Taxation,279,68.88,True,admitted,"B3, C6, C4, C5, B3"
Social Sciences,Economics,250,65.25,True,admitted,"C6, C5, B3, C5, B2"
Scool of Library Archival and Information Science,Library and information Science,342,81.75,True,admitted,"A1, B3, C6, C4, B2"
Environmental Science,Industrial Design,134,51.75,True,not admitted,"B3, B2, C5, C4, C6"
Arts,Islamic Studies,295,79.88,True,admitted,"B3, B2, C5, A1, A1"
Social Sciences,Economics,153,55.12,True,not admitted,"B3, C4, C6, B2, C4"
Social Sciences,Geography and Planning,385,85.12,True,admitted,"A1, C5, B2, C5, C5"
College of MEdicine,Physiology,149,57.62,False,not admitted,"B3, A1, B2, C4, C6"
Management Sciences,Insurance,361,81.12,True,admitted,"C5, C4, B3, B2, C5"
Management Sciences,Local Government Development and Administration,380,87.5,True,admitted,"B2, C4, B2, C6, A1"
Law,Common/Islamic Law,141,53.62,True,not admitted,"C5, C4, B3, B2, C5"
Science,Fisheries and Aquatic Biology,202,64.25,True,admitted,"C6, B3, B2, B2, B3"
Engineering,Industrial Enginerring,395,95.38,True,admitted,"A1, B2, A1, B2, B3"
Science,Botany,209,67.12,True,admitted,"C4, B3, C5, A1, A1"
College of MEdicine,Radiography & Radiation Science,179,59.38,True,not admitted,"B3, C6, C5, A1, B3"
Scool of Library Archival and Information Science,Library and information Science,161,57.12,False,not admitted,"C5, A1, C6, A1, C5"
Management Sciences,Marketing,216,64.0,True,admitted,"B3, A1, C4, C6, C4"
Arts,Arabic,181,56.62,True,not admitted,"C4, B2, C5, C6, C4"
College of MEdicine,Physiology,298,81.25,True,admitted,"B3, A1, A1, A1, C5"
Agriculture,Animal Science,386,87.25,True,admitted,"B2, A1, B3, C6, C4"
Management Sciences,Public Administration,155,58.38,True,not admitted,"A1, C5, C4, B2, C4"
Communication and Media Studies,Mass Communication,132,57.5,True,not admitted,"B2, C6, B3, A1, B2"
Management Sciences,Insurance,169,65.12,False,not admitted,"B2, A1, B3, A1, C4"
Science,Biochemistry,311,79.88,True,admitted,"C4, B3, B3, A1, B3"
Communication and Media Studies,Mass Communication,389,79.62,False,not admitted,"C6, C4, C4, C5, C5"
Management Sciences,Accounting,352,75.0,True,admitted,"C5, C6, C4, C4, C5"
Management Sciences,Taxation,133,49.62,True,not admitted,"C6, C6, B3, C5, B2"
Scool of Transport,Transport Management and Operations,228,68.5,True,admitted,"B2, A1, B2, C6, C4"
Education,Arabic Education,182,62.75,True,not admitted,"A1, A1, C5, C6, B2"
Engineering,Aeronautical and Astronautical Engineering,125,54.62,True,not admitted,"A1, B3, C4, B2, C6"
Scool of Transport,Transport Management and Operations,319,81.88,True,admitted,"C4, A1, C5, A1, B2"
Scool of Library Archival and Information Science,Library and information Science,181,52.62,False,not admitted,"C5, C6, C5, C6, B3"
Environmental Science,Estate Management,206,57.75,True,admitted,"C5, C6, C5, B3, C4"
Law,Common/Islamic Law,145,52.12,True,not admitted,"C4, B3, C6, C6, B2"
Law,Common/Islamic Law,160,58.0,True,not admitted,"C6, A1, B3, B2, C5"
Agriculture,Animal Science,145,56.12,False,not admitted,"C5, C5, A1, A1, C5"
Agriculture,Agricultural Extension & Rural Development,228,66.5,False,not admitted,"B2, C6, B2, C4, B3"
Scool of Transport,Logistics and Supply Chain Management,245,76.62,True,admitted,"B3, B3, A1, A1, A1"
Management Sciences,Project Management,302,82.75,True,admitted,"A1, A1, C4, B3, A1"
Education,History Education,348,76.5,False,not admitted,"C6, A1, B3, C6, C6"
Arts,Theatre Arts,307,78.38,True,admitted,"B2, B3, B3, C4, B3"
College of MEdicine,Pharmacology,388,86.5,False,not admitted,"C4, A1, C5, A1, C6"
Management Sciences,Taxation,124,53.5,True,not admitted,"B3, A1, C6, C4, B3"
College of MEdicine,Physiology,186,55.25,True,not admitted,"C6, B3, C6, C4, C4"
Law,Common/Islamic Law,392,89.0,True,admitted,"A1, B3, C4, B3, C4"
Management Sciences,Local Government Development and Administration,221,66.62,True,admitted,"C6, B2, B3, B3, B2"
Environmental Science,Environmental Management,344,80.0,False,not admitted,"B3, C4, C4, C6, A1"
Management Sciences,Insurance,241,70.12,True,admitted,"C4, A1, B3, B2, C5"
Arts,Portuguese / English,322,75.25,True,admitted,"C4, B2, C4, C5, C5"
Science,Computer Science,223,69.88,False,not admitted,"A1, A1, C4, B3, C4"
Science,Fisheries and Aquatic Biology,125,53.62,False,not admitted,"B2, C4, C4, C6, A1"
Education,Christian Religious Studies Education,289,76.12,True,admitted,"B2, B2, C4, C4, B3"
Social Sciences,Political Science,152,56.0,True,not admitted,"C4, C5, C4, B2, B3"
Social Sciences,Sociology,236,64.5,False,not admitted,"A1, A1, C6, C6, C6"
Communication and Media Studies,Mass Communication,174,61.75,True,not admitted,"B3, B2, B2, C6, B2"
Law,Common/Civil Law,234,67.25,True,admitted,"C4, B3, B2, B3, C5"
Law,Common/Islamic Law,344,82.0,True,admitted,"C4, C6, B2, B3, A1"
Communication and Media Studies,Mass Communication,351,78.88,True,admitted,"C5, C4, C4, C4, B3"
Agriculture,Crop Production,348,80.5,True,admitted,"B3, B2, C6, B3, C4"
College of MEdicine,Nursing,262,64.75,False,not admitted,"B2, C4, C6, C6, C5"
Arts,History and International studies,346,86.25,True,admitted,"B2, B2, B2, A1, C5"
Law,Common/Civil Law,264,73.0,True,admitted,"B2, A1, C6, A1, C5"
Arts,English Language,352,82.0,True,admitted,"C6, A1, C4, B2, C4"
College of MEdicine,Nursing,312,73.0,True,admitted,"C5, C6, B3, C5, B2"
Scool of Library Archival and Information Science,Library and information Science,327,79.88,False,not admitted,"B2, C5, C4, B2, B3"
Communication and Media Studies,Mass Communication,241,67.12,False,not admitted,"C4, B2, C5, C4, B3"
Agriculture,Agricultural Extension & Rural Development,170,63.25,True,not admitted,"A1, B3, B2, C4, B3"
Communication and Media Studies,Mass Communication,380,83.5,True,admitted,"C5, C5, B2, C4, B3"
Agriculture,Agricultural Extension & Rural Development,186,50.25,False,not admitted,"C5, C6, C6, C5, C6"
Arts,Peace Studies,365,84.62,True,admitted,"B3, C4, A1, C5, B3"
Education,Special Education,386,84.25,True,admitted,"B3, A1, C6, C4, C5"
Education,Business Education,371,77.38,True,admitted,"B3, C6, C6, C6, B3"
Education,Health Education,146,59.25,True,not admitted,"A1, C5, C5, B2, A1"
Science,Microbiology,166,61.75,False,not admitted,"C6, B3, B2, B2, A1"
College of MEdicine,Physiology,285,73.62,False,not admitted,"C4, C4, C5, A1, B3"
Communication and Media Studies,Mass Communication,308,78.5,True,admitted,"B2, C4, B3, C4, B2"
Social Sciences,Psychology,245,62.62,True,admitted,"C6, C5, B3, C6, B3"
Social Sciences,Political Science,179,59.38,False,not admitted,"B2, C5, C4, C6, A1"
Communication and Media Studies,Mass Communication,170,58.25,False,not admitted,"B2, C5, B3, C6, B2"
