Faculty,Department,UTME_Score,Olevel_Grades,Post_UTME_Score,Aggregate,Cutoff,Admission_Status
Dental Sciences,Dentistry,286,"A1, B3, C6, A1, C5",24,75.35,77.4,considered
Pharmacy,Pharmacy,330,"B2, B2, C6, C4, A1",4,61.25,76.125,not admitted
Clinical Sciences,Radiography,209,"C6, B2, B3, A1, B2",18,60.52,72.525,considered
Science,Statistics,323,"B3, C4, B2, C6, C5",27,81.38,50.0,admitted
Pharmacy,Pharmacy,216,"B2, C4, C4, B3, C6",0,41.4,76.125,not admitted
Clinical Sciences,Physiotherapy,308,"B3, C4, C6, C5, C5",22,73.3,73.75,considered
Dental Sciences,Dentistry,283,"B2, B3, C4, C4, B2",4,55.38,77.4,not admitted
Law,Law,391,"C6, C6, B2, A1, C4",6,69.28,68.65,not admitted
Social Sciences,Mass Communication,270,"B3, A1, C6, C4, C6",2,49.75,72.35,not admitted
Clinical Sciences,Medicine and Surgery,257,"C6, B2, B2, B2, A1",20,68.92,80.8,considered
Dental Sciences,Dentistry,384,"C4, A1, B3, A1, C4",23,87.8,77.4,admitted
Engineering,Computer Engineering,304,"C4, C6, C4, C5, A1",0,52.0,50.0,not admitted
Arts,Linguistic Igbo/Yoruba,281,"C5, B2, A1, C4, B2",8,59.52,61.175,not admitted
Arts,Linguistic Igbo/Yoruba,302,"B2, C5, C5, A1, B3",26,79.35,61.175,admitted
Pharmacy,Pharmacy,347,"C6, B2, A1, C5, C5",15,72.78,76.125,considered
Social Sciences,Psychology,333,"A1, B2, B2, B3, C5",26,84.42,67.4,admitted
Pharmacy,Pharmacy,394,"B2, A1, C4, B2, A1",11,78.25,76.125,not admitted
Management Sciences,Insurance,203,"C6, B3, C4, B3, C6",16,54.58,67.125,considered
Science,Statistics,227,"A1, B2, C6, C6, C5",5,47.38,50.0,not admitted
Education,Health Education,304,"C5, C4, C6, B3, A1",24,76.4,50.0,admitted
Education,Adult Education,285,"C4, B2, C5, A1, B3",18,69.62,50.0,admitted
Basic Medical Sciences,Pharmacology,252,"C5, C5, A1, B3, C5",4,49.9,72.625,not admitted
Social Sciences,Political Science,362,"B2, B3, C5, C4, A1",23,84.25,68.6,admitted
Clinical Sciences,Medicine and Surgery,381,"C5, A1, C5, B3, A1",11,74.62,80.8,not admitted
Basic Medical Sciences,Physiology,337,"C5, C6, B2, B3, C5",7,62.73,71.55,not admitted
Environmental Sciences,Estate Management,369,"C4, A1, A1, C6, B3",23,85.12,50.0,admitted
Basic Medical Sciences,Pharmacology,383,"C5, C6, C4, B3, C6",2,62.27,72.625,not admitted
Education,Education Mathematics,354,"B3, B2, C4, B2, C6",28,87.45,50.0,admitted
Science,Cell Biology & Genetics,319,"A1, A1, B3, C4, C6",23,78.88,50.0,admitted
Engineering,Systems Engineering,309,"C5, C5, C6, C5, B2",29,80.42,50.0,admitted
Pharmacy,Pharmacy,351,"C5, B3, B2, C6, C4",9,66.88,76.125,not admitted
Law,Law,276,"C6, C5, B3, C5, A1",24,72.5,68.65,admitted
Arts,Philosophy,337,"A1, C4, C6, C4, C6",2,57.73,67.4,not admitted
Dental Sciences,Dentistry,348,"C4, B3, A1, C5, B3",7,66.1,77.4,not admitted
Management Sciences,IRPM,305,"C5, C4, C6, C4, C5",15,65.53,50.0,admitted
Arts,Islamic Religious Studies,245,"B3, C5, C5, B3, A1",20,65.83,60.225,admitted
Dental Sciences,Dentistry,227,"C5, A1, B3, C6, B3",3,46.17,77.4,not admitted
Management Sciences,Business Administration,231,"C4, B2, B3, A1, C6",21,65.47,68.65,considered
Dental Sciences,Dentistry,354,"C6, B2, C6, B2, C5",2,59.85,77.4,not admitted
Basic Medical Sciences,Medical Laboratory Science,346,"C6, B3, B2, C5, C6",1,57.45,74.675,not admitted
Management Sciences,Insurance,230,"C5, C5, C6, B2, C6",25,66.15,67.125,considered
Social Sciences,Mass Communication,297,"B2, C4, C6, C6, C5",27,76.92,72.35,admitted
Pharmacy,Pharmacy,371,"C4, B3, A1, B2, C5",20,82.38,76.125,admitted
Arts,Islamic Religious Studies,289,"B2, C6, B3, C5, C6",19,68.33,60.225,admitted
Basic Medical Sciences,Medical Laboratory Science,263,"A1, C5, C4, C5, C5",10,56.88,74.675,not admitted
Arts,French,244,"C6, B2, C6, B3, C6",16,59.3,66.55,considered
Dental Sciences,Dentistry,395,"B2, C5, C5, C6, B2",29,92.38,77.4,admitted
Environmental Sciences,Architecture,358,"B2, B2, B3, C6, B2",27,87.75,50.0,admitted
Basic Medical Sciences,Physiology,308,"C6, C4, C6, C5, B3",15,65.9,71.55,considered
Pharmacy,Pharmacy,229,"C4, C6, B2, C6, B2",16,58.62,76.125,considered
Engineering,Metallurgical & Material Engineering,264,"A1, C5, B2, C4, B2",24,73.4,50.0,admitted
Clinical Sciences,Physiotherapy,269,"B3, B3, C5, C5, C4",26,73.62,73.75,considered
Arts,Linguistic Igbo/Yoruba,371,"C4, C6, C4, C4, C4",13,72.58,61.175,admitted
Environmental Sciences,Quantity Surveying,344,"B3, B2, C5, C4, C5",14,71.4,50.0,admitted
Social Sciences,Social Work,277,"C4, C4, C4, C6, B3",4,52.23,50.0,not admitted
Pharmacy,Pharmacy,209,"C4, B3, B3, C6, B2",21,61.92,76.125,considered
Science,Botany,200,"C6, B3, C5, B2, C4",10,49.0,50.0,not admitted
Engineering,Civil & Environmental Engineering,375,"A1, C5, C6, C4, A1",4,66.08,50.0,not admitted
Engineering,Metallurgical & Material Engineering,279,"C4, A1, B3, B2, C4",3,54.27,50.0,not admitted
Education,Education French,301,"C4, C4, B3, A1, C4",22,75.22,50.0,admitted
Environmental Sciences,Building,378,"B2, B2, B3, B3, C4",4,67.65,50.0,not admitted
Dental Sciences,Dentistry,321,"C6, B3, B2, C4, B3",9,63.92,77.4,not admitted
Social Sciences,Economics,343,"C5, C5, B3, B3, A1",14,72.08,69.95,admitted
Basic Medical Sciences,Physiology,378,"C6, A1, B2, C5, C4",17,79.05,71.55,admitted
Law,Law,326,"A1, A1, B2, A1, C4",25,84.15,68.65,admitted
Arts,Russian,374,"C5, B3, A1, B2, A1",27,90.95,67.65,admitted
Management Sciences,Finance,251,"A1, C6, C5, B2, B2",0,46.98,68.9,not admitted
Science,Geophysics,275,"B3, B2, B3, C6, C4",29,78.17,50.0,admitted
Dental Sciences,Dentistry,261,"C4, B2, B3, C4, C4",24,71.83,77.4,considered
Dental Sciences,Dentistry,388,"C4, A1, B3, A1, C4",11,76.3,77.4,not admitted
Basic Medical Sciences,Medical Laboratory Science,292,"B2, C6, C5, C5, C5",12,61.3,74.675,considered
Science,Cell Biology & Genetics,259,"C5, B3, C5, A1, C6",24,70.38,50.0,admitted
Arts,History & Strategic Studies,347,"A1, B3, B2, B2, C4",22,82.58,68.6,admitted
Dental Sciences,Dentistry,388,"C6, A1, B2, C5, B3",6,69.7,77.4,not admitted
Management Sciences,Actuarial Science,345,"A1, B2, A1, C5, B3",26,86.33,61.875,admitted
Management Sciences,IRPM,218,"A1, C5, C4, C5, B2",11,53.45,50.0,not admitted
Environmental Sciences,Architecture,345,"C6, B2, C6, B2, B3",23,80.53,50.0,admitted
Engineering,Biomedical Engineering,396,"B2, C4, B2, B3, C6",7,71.7,50.0,not admitted
Arts,Philosophy,212,"C4, A1, B3, B3, B2",25,68.3,67.4,admitted
Management Sciences,Finance,394,"C4, C5, C6, C6, B3",15,76.65,68.9,admitted
Arts,Islamic Religious Studies,291,"B2, A1, B3, C4, A1",23,76.97,60.225,admitted
Dental Sciences,Dentistry,202,"C6, B3, A1, C4, B2",10,50.85,77.4,not admitted
Education,Education Biology,259,"B2, B3, B3, B2, B3",6,55.17,50.0,not admitted
Law,Law,332,"A1, C6, B3, C6, B2",5,61.3,68.65,not admitted
Law,Law,377,"B3, C4, C4, B2, A1",0,63.52,68.65,not admitted
Dental Sciences,Dentistry,303,"C6, B2, C4, C6, C5",1,51.67,77.4,not admitted
Education,Education Igbo,257,"C5, C5, A1, C5, C6",0,45.33,50.0,not admitted
Management Sciences,Accounting,230,"A1, A1, C4, A1, A1",23,70.55,74.1,considered
Social Sciences,Sociology,294,"C4, B2, C5, C6, C5",18,67.95,66.15,admitted
Engineering,Metallurgical & Material Engineering,246,"A1, C6, C5, B3, B2",0,45.95,50.0,not admitted
Arts,Russian,338,"C4, C4, B3, A1, B2",26,84.65,67.65,admitted
Dental Sciences,Dentistry,224,"C6, C6, B3, B3, B3",28,69.6,77.4,considered
Social Sciences,Social Work,349,"B3, A1, C5, C5, C4",27,85.42,50.0,admitted
Pharmacy,Pharmacy,205,"B2, C4, C6, A1, C6",18,58.02,76.125,considered
Social Sciences,Sociology,265,"A1, A1, C6, C4, A1",10,59.92,66.15,not admitted
Clinical Sciences,Medicine and Surgery,262,"C6, B2, B3, C4, C4",12,59.15,80.8,considered
Social Sciences,Mass Communication,238,"C4, C6, A1, B3, C5",27,71.15,72.35,considered
Dental Sciences,Dentistry,344,"B3, A1, C5, C5, B2",24,82.6,77.4,admitted
Environmental Sciences,Estate Management,369,"C5, B2, B3, C4, C6",4,64.12,50.0,not admitted
Education,Education Geography,288,"C5, C4, C6, C6, C4",13,61.0,50.0,admitted
Arts,Islamic Religious Studies,368,"B3, A1, A1, A1, C5",16,79.6,60.225,admitted
Management Sciences,Insurance,349,"C4, C6, C4, B2, C6",29,85.83,67.125,admitted
Engineering,Computer Engineering,387,"B2, B2, B2, C4, B3",1,66.17,50.0,not admitted
Management Sciences,Insurance,227,"C6, C5, C5, A1, B2",7,49.77,67.125,not admitted
Pharmacy,Pharmacy,234,"C4, C5, B2, A1, C5",28,72.45,76.125,considered
Law,Law,201,"C4, C5, C6, C5, C4",16,53.52,68.65,considered
Law,Law,333,"C4, C6, B3, C4, C4",2,57.23,68.65,not admitted
Pharmacy,Pharmacy,364,"C4, A1, B3, A1, C4",21,83.3,76.125,admitted
Clinical Sciences,Physiotherapy,251,"C5, A1, A1, A1, B3",27,75.97,73.75,admitted
Arts,English,334,"B3, C5, C4, B2, A1",19,76.75,68.175,admitted
Science,Statistics,287,"B3, C4, C6, C6, B3",28,77.08,50.0,admitted
Management Sciences,Actuarial Science,257,"C5, B3, B2, A1, B2",8,56.92,61.875,not admitted
Law,Law,321,"C4, C6, B2, A1, B2",16,72.12,68.65,admitted
Law,Law,202,"C6, C5, B2, B3, B3",23,62.65,68.65,considered
Management Sciences,Accounting,278,"C4, C6, B2, B2, C4",19,68.55,74.1,considered
Science,Industrial Mathematics,277,"C4, B3, A1, B2, C5",28,78.62,50.0,admitted
Engineering,Surveying & Geoinformatics Engineering,283,"C4, A1, C6, B3, A1",20,71.38,50.0,admitted
Education,Educational Foundations,261,"B3, C4, C4, A1, B3",9,57.62,50.0,not admitted
Basic Medical Sciences,Physiology,342,"B3, B3, C5, A1, B3",9,67.75,71.55,not admitted
Environmental Sciences,Quantity Surveying,379,"B3, B2, A1, B2, A1",15,80.78,50.0,admitted
Education,Business Education,265,"B2, C4, A1, B3, C5",14,63.12,50.0,admitted
Science,Fisheries,300,"A1, C6, B3, C4, C6",19,70.5,50.0,admitted
Arts,Philosophy,361,"B2, C5, C5, A1, C6",14,73.53,67.4,admitted
Law,Law,304,"C4, C4, B3, B2, B2",29,83.0,68.65,admitted
Arts,Chinese,366,"C6, C6, C5, B2, C4",19,77.55,66.7,admitted
Social Sciences,Psychology,275,"C4, B3, B3, B2, C5",30,79.58,67.4,admitted
Arts,English,331,"C6, B3, C6, B2, C6",28,82.17,68.175,admitted
Pharmacy,Pharmacy,397,"C5, B3, C5, B2, B2",3,67.83,76.125,not admitted
Law,Law,343,"B2, B3, C6, A1, C6",2,59.67,68.65,not admitted
Dental Sciences,Dentistry,343,"B3, C5, C4, C4, C6",11,67.08,77.4,not admitted
Engineering,Computer Engineering,289,"C5, C5, C4, C4, C4",8,57.33,50.0,not admitted
Dental Sciences,Dentistry,356,"B2, C4, C5, C4, B3",9,68.3,77.4,not admitted
Social Sciences,Economics,211,"B3, C6, B3, B2, A1",20,62.38,69.95,considered
Science,Marine Biology,271,"B2, C4, A1, B3, B3",0,50.67,50.0,not admitted
Pharmacy,Pharmacy,229,"B2, C4, B2, C6, A1",13,57.62,76.125,considered
Law,Law,297,"C6, C4, A1, B2, C6",16,67.53,68.65,considered
Environmental Sciences,Estate Management,224,"B2, B2, C6, C4, C6",27,69.0,50.0,admitted
Arts,English,224,"C4, C5, C6, B3, B3",1,42.6,68.175,not admitted
Management Sciences,Actuarial Science,261,"C5, C5, B3, C4, C4",9,55.23,61.875,not admitted
Basic Medical Sciences,Medical Laboratory Science,340,"A1, B3, C6, B3, A1",18,76.9,74.675,admitted
Basic Medical Sciences,Medical Laboratory Science,376,"A1, C4, C4, B2, C5",22,84.6,74.675,admitted
Science,Geophysics,349,"C6, B2, C4, C4, C4",16,73.62,50.0,admitted
Dental Sciences,Dentistry,239,"B2, B3, C4, C4, A1",25,71.28,77.4,considered
Management Sciences,Business Administration,210,"C6, B3, A1, B3, A1",21,63.65,68.65,considered
Social Sciences,Geography,320,"C6, B3, C4, C6, C6",29,81.0,50.0,admitted
Pharmacy,Pharmacy,374,"A1, B2, C4, C6, A1",24,87.15,76.125,admitted
Science,Marine Biology,354,"B3, C6, C4, C6, C5",25,81.65,50.0,admitted
Clinical Sciences,Medicine and Surgery,243,"A1, A1, B2, B3, C6",1,48.17,80.8,not admitted
Management Sciences,IRPM,267,"C6, B3, B2, B3, C6",26,73.38,50.0,admitted
Dental Sciences,Dentistry,213,"C6, B3, C4, B2, B2",20,61.83,77.4,considered
Dental Sciences,Dentistry,351,"C4, C6, C6, A1, A1",24,82.67,77.4,admitted
Basic Medical Sciences,Medical Laboratory Science,330,"A1, B2, C6, C5, B3",10,66.45,74.675,not admitted
Education,Education Economics,361,"B3, C5, A1, C6, C5",2,61.12,50.0,not admitted
Environmental Sciences,Estate Management,249,"C5, C6, C6, C5, B2",3,46.52,50.0,not admitted
Dental Sciences,Dentistry,286,"C4, C4, B3, A1, C4",9,60.35,77.4,not admitted
Pharmacy,Pharmacy,247,"A1, B3, C5, B2, C6",7,53.08,76.125,not admitted
Clinical Sciences,Radiography,221,"A1, A1, B3, B3, B3",27,72.22,72.525,considered
Basic Medical Sciences,Pharmacology,374,"B2, C5, C6, C5, C6",30,89.15,72.625,admitted
Basic Medical Sciences,Medical Laboratory Science,227,"B3, A1, A1, C4, A1",1,47.38,74.675,not admitted
Engineering,Biomedical Engineering,274,"C6, C4, C5, B2, A1",11,60.05,50.0,not admitted
Clinical Sciences,Medicine and Surgery,357,"B3, C6, B2, C5, A1",29,88.83,80.8,admitted
Engineering,Electrical & Electronics Engineering,239,"B3, B3, C4, B2, C5",7,52.08,50.0,not admitted
Science,Geology,256,"C6, A1, C6, C6, B3",23,68.2,50.0,admitted
Environmental Sciences,Building,205,"A1, C6, C6, C4, B2",18,58.02,50.0,admitted
Education,Education French,298,"C6, B2, B3, A1, C4",4,56.85,50.0,not admitted
Pharmacy,Pharmacy,343,"B2, B3, C6, B3, C4",9,66.67,76.125,not admitted
Education,Education Geography,216,"B2, A1, C6, A1, C6",26,68.6,50.0,admitted
Social Sciences,Mass Communication,312,"B3, B3, B2, A1, C6",7,62.0,72.35,not admitted
Social Sciences,Sociology,336,"C5, B3, C5, C6, A1",19,75.0,66.15,admitted
Social Sciences,Psychology,354,"C5, C6, B3, A1, C4",11,69.65,67.4,not admitted
Environmental Sciences,Estate Management,350,"B3, C4, B2, B2, C6",8,66.95,50.0,not admitted
Education,Technology Education,281,"B2, A1, B3, B2, C4",1,53.33,50.0,not admitted
Dental Sciences,Dentistry,362,"C4, C6, C4, C5, C5",24,81.65,77.4,admitted
Management Sciences,IRPM,300,"A1, A1, B2, A1, C4",8,63.9,50.0,not admitted
Education,Education French,400,"C6, B2, C6, B3, B2",0,64.4,50.0,not admitted
Pharmacy,Pharmacy,211,"C5, C4, B3, C6, B3",14,53.98,76.125,considered
Pharmacy,Pharmacy,360,"B2, A1, B2, A1, B3",15,78.4,76.125,admitted
Arts,French,216,"B2, A1, C5, C5, C4",15,57.2,66.55,considered
Science,Zoology,342,"C4, B2, A1, B2, C6",7,65.75,50.0,not admitted
Arts,Islamic Religious Studies,333,"B2, C6, B2, B2, B2",29,87.03,60.225,admitted
Pharmacy,Pharmacy,386,"C4, C6, A1, C4, B3",1,64.05,76.125,not admitted
Pharmacy,Pharmacy,399,"B3, C6, A1, A1, C5",8,73.47,76.125,not admitted
Science,Microbiology,254,"B3, B2, C5, C5, C4",9,55.15,50.0,not admitted
Dental Sciences,Dentistry,387,"B3, B2, C5, A1, B3",9,73.78,77.4,not admitted
Pharmacy,Pharmacy,379,"C4, B2, B2, B2, C4",18,81.78,76.125,admitted
Science,Computer Science,395,"C6, C5, B2, B2, A1",0,64.97,71.75,not admitted
Dental Sciences,Dentistry,296,"A1, B3, C4, C6, C4",7,58.8,77.4,not admitted
Dental Sciences,Dentistry,396,"C4, B3, C4, B2, A1",16,81.9,77.4,admitted
Arts,English,233,"C6, A1, A1, B2, C6",16,60.73,68.175,considered
Dental Sciences,Dentistry,279,"C4, B3, C5, B3, C6",29,77.47,77.4,admitted
Clinical Sciences,Nursing,379,"A1, C6, A1, C6, C5",5,66.78,70.875,not admitted
Dental Sciences,Dentistry,342,"A1, A1, C4, B2, B2",9,69.75,77.4,not admitted
Basic Medical Sciences,Medical Laboratory Science,343,"C4, B2, B3, C5, B3",0,58.08,74.675,not admitted
Education,Business Education,264,"B2, C4, C4, C4, A1",21,70.0,50.0,admitted
Management Sciences,Insurance,227,"B3, C4, B2, C5, C5",10,52.77,67.125,not admitted
Science,Zoology,214,"C4, C6, C5, C4, C4",21,60.55,50.0,admitted
Law,Law,298,"B3, C5, C6, C5, C6",1,50.25,68.65,not admitted
Arts,Philosophy,367,"A1, C6, A1, C6, C5",28,88.28,67.4,admitted
Science,Cell Biology & Genetics,322,"C5, A1, C4, B2, B2",15,71.65,50.0,admitted
Environmental Sciences,Architecture,233,"A1, C6, A1, C4, C6",14,57.92,50.0,admitted
Management Sciences,Accounting,349,"C6, C5, B2, C5, C5",5,61.42,74.1,not admitted
Dental Sciences,Dentistry,218,"C5, A1, C5, B2, B3",2,44.85,77.4,not admitted
Pharmacy,Pharmacy,241,"C5, C6, A1, B2, C5",2,46.52,76.125,not admitted
Education,Adult Education,365,"B3, B3, C5, B2, C6",6,66.03,50.0,not admitted
Environmental Sciences,Quantity Surveying,211,"C5, B3, C5, B3, C5",13,52.98,50.0,admitted
Social Sciences,Economics,255,"C4, A1, B2, C4, B2",5,53.67,69.95,not admitted
Arts,Russian,321,"C5, C6, C5, A1, B2",29,83.53,67.65,admitted
Social Sciences,Psychology,265,"C4, B3, C4, C6, B2",30,77.53,67.4,admitted
Law,Law,331,"A1, C6, C4, C4, C5",27,82.38,68.65,admitted
Pharmacy,Pharmacy,341,"A1, C6, C5, B3, C6",3,59.23,76.125,not admitted
Clinical Sciences,Radiography,370,"C4, A1, B3, C5, C6",27,87.65,72.525,admitted
Clinical Sciences,Medicine and Surgery,344,"C4, B2, A1, B3, A1",7,67.6,80.8,not admitted
Arts,Russian,260,"C4, B2, C6, B3, C6",16,62.1,67.65,considered
Dental Sciences,Dentistry,279,"B2, C6, A1, B2, B2",27,78.67,77.4,admitted
Engineering,Electrical & Electronics Engineering,308,"C6, C4, B3, C4, C5",17,68.7,50.0,admitted
Law,Law,258,"C6, C5, C6, C6, C6",2,44.65,68.65,not admitted
Social Sciences,Political Science,301,"C5, B3, C4, B3, B3",11,63.42,68.6,not admitted
Environmental Sciences,Architecture,345,"B3, B3, C5, B3, B3",3,61.33,50.0,not admitted
Science,Physics,322,"B2, C4, C6, B3, B2",26,81.45,50.0,admitted
Basic Medical Sciences,Physiology,340,"C5, B3, B3, C4, A1",4,62.1,71.55,not admitted
Arts,History & Strategic Studies,350,"B3, C5, C6, C6, A1",6,63.35,68.6,not admitted
Arts,Creative Arts,207,"C5, B2, C5, C6, A1",11,51.27,67.05,not admitted
Clinical Sciences,Nursing,400,"C6, C6, C4, C5, B2",4,66.8,70.875,not admitted
Social Sciences,Geography,336,"B2, A1, C6, C6, C5",7,63.0,50.0,not admitted
Dental Sciences,Dentistry,208,"C5, C5, A1, C6, C6",14,52.8,77.4,considered
Arts,History & Strategic Studies,336,"C5, C4, A1, C6, A1",24,81.2,68.6,admitted
Environmental Sciences,Urban & Regional Planning,399,"B2, C6, B3, C5, B3",11,75.28,50.0,not admitted
Dental Sciences,Dentistry,384,"B2, B3, A1, C4, C6",4,67.6,77.4,not admitted
Basic Medical Sciences,Medical Laboratory Science,268,"A1, A1, B2, B2, B3",4,55.9,74.675,not admitted
Engineering,Biomedical Engineering,227,"A1, B2, B3, C5, C4",20,64.38,50.0,admitted
Management Sciences,Actuarial Science,336,"B2, C6, C4, A1, C6",8,64.4,61.875,not admitted
Basic Medical Sciences,Medical Laboratory Science,217,"B2, C4, B2, C4, B2",23,66.53,74.675,considered
Engineering,Surveying & Geoinformatics Engineering,381,"C6, C6, C6, C4, B2",18,78.03,50.0,admitted
Social Sciences,Political Science,394,"B2, C5, C4, A1, B3",23,88.25,68.6,admitted
Basic Medical Sciences,Physiology,220,"A1, C4, B2, C5, B2",12,55.9,71.55,considered
Engineering,Electrical & Electronics Engineering,235,"A1, B2, B2, C6, A1",28,74.58,50.0,admitted
Education,Education History,238,"C5, B3, C6, A1, A1",30,75.35,50.0,admitted
Arts,Philosophy,397,"C6, B2, C4, A1, C6",21,85.03,67.4,admitted
Environmental Sciences,Building,274,"C6, C4, B2, B2, C5",6,54.65,50.0,not admitted
Dental Sciences,Dentistry,224,"B2, A1, A1, C6, C6",30,73.6,77.4,considered
Basic Medical Sciences,Pharmacology,319,"C4, B2, B3, C4, C4",4,59.08,72.625,not admitted
Science,Microbiology,332,"B2, B2, A1, C6, C4",12,69.5,50.0,admitted
Management Sciences,IRPM,202,"B3, B3, C4, B2, B3",30,71.25,50.0,admitted
Dental Sciences,Dentistry,384,"C5, B2, C6, B3, A1",27,90.2,77.4,admitted
Pharmacy,Pharmacy,296,"B2, C6, B3, C5, C5",14,64.6,76.125,considered
Pharmacy,Pharmacy,262,"C5, A1, B2, A1, C6",30,78.75,76.125,admitted
Basic Medical Sciences,Physiology,283,"C6, C5, B3, A1, C4",30,79.78,71.55,admitted
Dental Sciences,Dentistry,270,"B3, B3, A1, A1, C4",30,80.95,77.4,admitted
Science,Industrial Mathematics,387,"B3, C6, C4, C6, C4",13,74.17,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,334,"B2, C6, B3, C6, C6",8,62.55,74.675,not admitted
Environmental Sciences,Building,300,"B3, C4, A1, C6, C6",14,65.5,50.0,admitted
Science,Cell Biology & Genetics,367,"C5, B2, C5, C4, C4",18,77.88,50.0,admitted
Arts,Islamic Religious Studies,396,"B2, C5, C5, B2, C5",9,72.9,60.225,not admitted
Environmental Sciences,Architecture,226,"A1, C4, C5, B3, A1",5,49.65,50.0,not admitted
Basic Medical Sciences,Physiology,299,"A1, A1, B3, B2, B2",19,74.78,71.55,admitted
Dental Sciences,Dentistry,315,"B3, C5, B3, C5, B2",17,71.17,77.4,considered
Arts,Creative Arts,362,"C4, B3, A1, B3, C4",12,73.25,67.05,admitted
Social Sciences,Political Science,296,"B3, C6, C5, C6, A1",25,75.6,68.6,admitted
Engineering,Surveying & Geoinformatics Engineering,253,"B2, B3, C6, B2, B2",18,65.62,50.0,admitted
Management Sciences,Business Administration,351,"A1, B2, B3, B3, C4",11,71.67,68.65,not admitted
Education,Education French,387,"A1, C6, C5, C4, B2",1,64.17,50.0,not admitted
Law,Law,202,"B2, A1, C4, B3, A1",18,60.85,68.65,considered
Social Sciences,Economics,285,"C4, C4, C6, B2, A1",15,65.83,69.95,considered
Social Sciences,Economics,341,"C4, B2, C6, C4, C5",16,72.22,69.95,admitted
Basic Medical Sciences,Medical Laboratory Science,200,"C4, B3, C5, C6, C4",21,59.2,74.675,considered
Pharmacy,Pharmacy,360,"C5, C5, C4, B3, B3",18,77.0,76.125,admitted
Arts,Chinese,241,"B3, B3, B2, C5, C6",25,69.53,66.7,admitted
Science,Zoology,340,"B2, B3, B3, A1, A1",7,67.5,50.0,not admitted
Law,Law,353,"B2, C6, B2, B3, B2",29,89.12,68.65,admitted
Dental Sciences,Dentistry,230,"C5, C5, B3, A1, C4",20,63.55,77.4,considered
Dental Sciences,Dentistry,231,"C4, C4, C4, C6, A1",22,65.28,77.4,considered
Arts,Creative Arts,326,"C4, B2, C5, C4, A1",9,65.35,67.05,not admitted
Dental Sciences,Dentistry,348,"C5, A1, C4, A1, C5",15,74.1,77.4,considered
Social Sciences,Geography,230,"C5, C5, A1, C5, C5",16,58.35,50.0,admitted
Science,Botany,265,"B2, B3, A1, C4, C4",15,64.53,50.0,admitted
Education,Education Geography,312,"B3, B3, C4, A1, C5",19,73.6,50.0,admitted
Engineering,Electrical & Electronics Engineering,383,"B3, C4, B2, C4, B2",10,73.88,50.0,not admitted
Clinical Sciences,Medicine and Surgery,396,"C6, A1, B3, C6, C6",1,63.7,80.8,not admitted
Engineering,Civil & Environmental Engineering,393,"C6, B2, B3, B3, C6",2,65.12,50.0,not admitted
Science,Geophysics,251,"A1, C4, B3, C6, C6",12,57.38,50.0,admitted
Education,Education Biology,246,"A1, B2, C6, B2, A1",10,57.95,50.0,not admitted
Arts,Islamic Religious Studies,383,"B3, C4, C6, B2, B2",13,76.08,60.225,admitted
Pharmacy,Pharmacy,314,"C4, C5, B2, C5, B2",13,67.05,76.125,considered
Dental Sciences,Dentistry,306,"A1, C6, B2, B3, C6",2,55.05,77.4,not admitted
Environmental Sciences,Estate Management,294,"C6, C6, C6, C5, C6",21,68.15,50.0,admitted
Basic Medical Sciences,Physiology,248,"C6, C6, C5, C4, B2",26,69.8,71.55,considered
Environmental Sciences,Building,213,"C6, C4, A1, B3, C5",17,58.02,50.0,admitted
Education,Education Geography,220,"B2, C4, C4, C5, B2",0,42.7,50.0,not admitted
Law,Law,273,"C5, A1, C4, C5, C4",14,62.52,68.65,considered
Clinical Sciences,Radiography,286,"A1, B3, C6, A1, C5",26,77.35,72.525,admitted
Environmental Sciences,Estate Management,210,"B2, C4, A1, B3, C5",12,54.25,50.0,admitted
Arts,History & Strategic Studies,314,"C6, C6, C4, A1, C5",21,73.45,68.6,admitted
Basic Medical Sciences,Pharmacology,262,"B2, C6, B3, B2, B3",27,75.35,72.625,admitted
Engineering,Electrical & Electronics Engineering,259,"B2, C6, B2, C5, C4",19,65.78,50.0,admitted
Basic Medical Sciences,Pharmacology,269,"C5, B3, B2, C5, C5",15,62.62,72.625,considered
Social Sciences,Sociology,295,"C4, B2, A1, C5, B3",14,66.88,66.15,admitted
Social Sciences,Sociology,315,"C5, C5, B3, C6, C6",26,77.38,66.15,admitted
Social Sciences,Political Science,382,"B2, C6, B2, A1, C4",8,71.75,68.6,not admitted
Social Sciences,Economics,400,"C4, B2, C6, C5, C5",7,70.2,69.95,not admitted
Arts,Islamic Religious Studies,397,"A1, B2, A1, C6, C4",16,82.03,60.225,admitted
Pharmacy,Pharmacy,248,"A1, A1, C4, C6, C6",21,66.8,76.125,considered
Law,Law,206,"C6, C4, C5, C6, C4",19,56.75,68.65,considered
Education,Education History,363,"A1, C4, C4, B3, C6",3,63.17,50.0,not admitted
Basic Medical Sciences,Physiology,330,"C4, B3, B2, C5, B3",25,81.45,71.55,admitted
Management Sciences,Business Administration,339,"B3, C6, C5, B3, C6",2,57.17,68.65,not admitted
Social Sciences,Mass Communication,384,"C6, C6, A1, A1, C6",12,74.0,72.35,admitted
Clinical Sciences,Radiography,257,"B3, A1, B2, C5, B3",23,71.53,72.525,considered
