Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,utme_gap,aggregate_gap,Olevel_Valid,olevel_avg_points,admitted_numeric
Agriculture,Food Science and Technology,218,150,42.7,58.0,68,-15.3,1,2.0,0
Communications and Media Studies,Journalism,350,150,83.5,64.0,200,19.5,1,4.2,1
Environmental Design and Management,Quantity Surveying,230,170,67.5,60.5,60,7.0,1,4.6,1
Management Sciences,Finance,215,160,49.25,55.0,55,-5.75,1,3.4,0
Law,Law,290,240,63.5,55.0,50,8.5,1,4.0,1
Arts, English and Literary Studies,198,150,49.7,55.0,48,-5.3,1,4.0,0
Science,Chemistry,345,150,63.75,62.5,195,1.25,1,2.4,1
Communications and Media Studies,Mass Communication,231,220,60.65,66.3,11,-5.65,1,3.2,0
Environmental Design and Management,Building,339,170,62.85,57.5,169,5.35,1,2.4,1
Engineering,Civil Engineering,148,200,42.2,65.0,-52,-22.8,1,4.0,0
Communications and Media Studies,Mass Communication,297,220,59.55,66.3,77,-6.75,1,3.0,0
Management Sciences,Finance,337,160,75.55,55.0,177,20.55,1,3.0,1
Basic Medical Science,Medical Laboratory Science,146,200,58.9,72.3,-54,-13.4,1,5.4,0
College of Medicine,Medicine and Surgery,203,260,49.45,55.0,-57,-5.55,1,3.8,0
College of Medicine,Medicine and Surgery,196,260,47.4,55.0,-64,-7.6,1,3.6,0
Education,Library and Information Science,333,150,69.95,64.5,183,5.45,1,4.0,1
Pharmacy,Doctor of Pharmacy,205,240,51.75,55.0,-35,-3.25,1,2.2,0
Pharmacy,Doctor of Pharmacy,314,240,75.1,55.0,74,20.1,1,3.6,1
Pharmacy,Doctor of Pharmacy,233,240,58.95,55.0,-7,3.95,1,2.8,0
Arts,Theatre and Media Arts,158,200,40.7,65.8,-42,-25.1,1,3.4,0
Arts,History and International Studies,234,180,55.1,67.8,54,-12.7,1,4.0,0
Pharmacy,Doctor of Pharmacy,330,240,66.5,55.0,90,11.5,1,3.4,1
College of Medicine,Medicine and Surgery,266,260,58.9,55.0,6,3.9,1,3.8,1
Agriculture,Soil Science and Land Resources Management,225,150,64.75,55.0,75,9.75,1,4.2,1
Management Sciences,Accounting,226,200,49.9,55.0,26,-5.1,1,3.2,0
Social Sciences,Psychology,189,150,46.35,64.5,39,-18.15,1,3.6,0
Arts,Theatre and Media Arts,333,200,62.95,65.8,133,-2.85,1,2.6,0
Engineering,Meterials and Metallurgical Engineering,225,150,58.75,55.0,75,3.75,1,3.0,1
Education,Chemistry Education,292,150,61.8,55.0,142,6.8,1,3.6,1
Management Sciences,Public Administration,168,160,53.2,55.0,8,-1.8,1,3.6,0
Agriculture,Fisheries and Aquaculture,293,150,69.95,50.3,143,19.65,1,3.2,1
Agriculture,Fisheries and Aquaculture,318,150,75.7,50.3,168,25.4,1,3.6,1
Science,Biochemistry,239,180,49.85,63.75,59,-13.9,1,2.8,0
Education,Physics Education,340,150,63.0,53.6,190,9.4,1,2.4,1
Agriculture,Water Resources Management and Agrometeorology,291,150,59.65,55.0,141,4.65,1,3.2,1
Education,Physics Education,249,150,52.35,53.6,99,-1.25,1,3.0,0
Science,Industrial Chemistry,186,150,53.9,60.5,36,-6.6,1,3.2,0
Arts, English and Literary Studies,231,150,49.65,55.0,81,-5.35,1,3.0,0
Basic Medical Science,Radiology and Radiography,256,200,56.4,71.3,56,-14.9,1,3.6,0
Social Sciences,Psychology,190,150,58.5,64.5,40,-6.0,1,4.0,0
College of Medicine,Medicine and Surgery,237,260,65.55,55.0,-23,10.55,1,4.0,0
Environmental Design and Management,Survey and Geo-informatics,316,150,73.4,55.0,166,18.4,1,5.2,1
Agriculture,Fisheries and Aquaculture,217,150,56.55,50.3,67,6.25,1,2.8,1
Law,Law,188,240,49.2,55.0,-52,-5.8,1,4.2,0
Law,Law,270,240,62.5,55.0,30,7.5,1,2.4,1
Engineering,Electrical and Electronics Engineering,159,200,48.85,63.3,-41,-14.45,1,5.0,0
Law,Law,332,240,73.8,55.0,92,18.8,1,2.8,1
Pharmacy,Doctor of Pharmacy,149,240,44.35,55.0,-91,-10.65,1,2.4,0
Social Sciences,Political Science,259,180,57.85,62.5,79,-4.65,1,3.8,0
Engineering,Electrical and Electronics Engineering,329,200,70.35,63.3,129,7.05,1,4.2,1
College of Medicine,Medicine and Surgery,179,260,58.85,55.0,-81,3.85,1,4.4,0
Arts,Theatre and Media Arts,248,200,53.2,65.8,48,-12.6,1,3.2,0
Management Sciences,Accounting,205,200,57.75,55.0,5,2.75,1,3.4,1
Basic Medical Science,Radiology and Radiography,334,200,66.1,71.3,134,-5.2,1,3.2,0
Environmental Design and Management,Architecture,293,210,61.95,66.25,83,-4.3,1,3.6,0
Science,Zoology,148,150,43.2,55.5,-2,-12.3,1,2.2,0
Science,Botany,313,150,74.95,53.5,163,21.45,1,3.6,1
Agriculture,Food Science and Technology,298,150,71.7,58.0,148,13.7,1,3.4,1
Management Sciences,Accounting,160,200,53.0,55.0,-40,-2.0,1,3.8,0
Pharmacy,Doctor of Pharmacy,348,240,83.2,55.0,108,28.2,1,4.2,1
Education,Health Education,162,150,41.3,57.95,12,-16.65,1,3.4,0
Social Sciences,Political Science,143,180,45.45,62.5,-37,-17.05,1,2.8,0
Pharmacy,Doctor of Pharmacy,333,240,80.95,55.0,93,25.95,1,4.2,1
Communications and Media Studies,Broadcasting,277,150,53.55,64.0,127,-10.45,1,2.4,0
Basic Medical Science,Anatomy,340,180,65.0,63.3,160,1.7,1,2.8,1
Science,Geology,173,150,53.95,59.5,23,-5.55,1,3.6,0
Social Sciences,Criminology and Security Studies,163,200,35.45,55.0,-37,-19.55,1,2.2,0
Education,Mathematics Education,152,150,46.8,55.5,2,-8.7,1,2.8,0
Pharmacy,Doctor of Pharmacy,304,240,59.6,55.0,64,4.6,1,2.8,1
Basic Medical Science,Physiology,163,180,42.45,61.5,-17,-19.05,1,3.6,0
College of Medicine,Medicine and Surgery,230,260,54.5,55.0,-30,-0.5,1,4.0,0
Arts,Theatre and Media Arts,326,200,84.9,65.8,126,19.1,1,5.2,1
Management Sciences,Finance,161,160,55.15,55.0,1,0.15,1,4.2,1
Law,Law,215,240,44.25,55.0,-25,-10.75,1,2.4,0
Pharmacy,Doctor of Pharmacy,295,240,67.25,55.0,55,12.25,1,2.6,1
College of Medicine,Medicine and Surgery,289,260,62.35,55.0,29,7.35,1,3.8,1
Basic Medical Science,Nursing Science,350,150,73.5,55.0,200,18.5,1,2.2,1
Pharmacy,Doctor of Pharmacy,317,240,66.55,55.0,77,11.55,1,3.8,1
Basic Medical Science,Medical Laboratory Science,150,200,50.5,72.3,-50,-21.8,1,3.6,0
Law,Law,262,240,55.3,55.0,22,0.3,1,3.2,1
Education,Chemistry Education,182,150,55.3,55.0,32,0.3,1,3.6,1
Communications and Media Studies,Broadcasting,176,150,57.4,64.0,26,-6.6,1,4.2,0
Education,Chemistry Education,334,150,61.1,55.0,184,6.1,1,2.2,1
Social Sciences,Political Science,210,180,50.5,62.5,30,-12.0,1,1.8,0
Management Sciences,Business Administration,287,200,65.05,55.0,87,10.05,1,4.4,1
Environmental Design and Management,Estate Management,192,160,58.8,57.5,32,1.3,1,4.0,1
Engineering,Electrical and Electronics Engineering,173,200,50.95,63.3,-27,-12.35,1,3.0,0
Agriculture,Animal Production and Health,234,150,62.1,61.3,84,0.8,1,3.4,1
Management Sciences,Accounting,158,200,45.7,55.0,-42,-9.3,1,2.4,0
Education,Physics Education,347,150,84.05,53.6,197,30.45,1,4.4,1
Arts,Theatre and Media Arts,242,200,54.3,65.8,42,-11.5,1,3.6,0
Environmental Design and Management,Building,219,170,50.85,57.5,49,-6.65,1,3.6,0
Social Sciences,Criminology and Security Studies,148,200,41.2,55.0,-52,-13.8,1,3.8,0
Engineering,Electrical and Electronics Engineering,140,200,44.0,63.3,-60,-19.3,1,2.6,0
Social Sciences,Political Science,202,180,60.3,62.5,22,-2.2,1,4.0,0
Agriculture,Fisheries and Aquaculture,163,150,48.45,50.3,13,-1.85,1,2.8,0
Education,Guidance and Counselling,313,150,65.95,59.05,163,6.9,1,3.8,1
Pharmacy,Doctor of Pharmacy,301,240,63.15,55.0,61,8.15,1,3.6,1
Pharmacy,Doctor of Pharmacy,323,240,79.45,55.0,83,24.45,1,4.2,1
Basic Medical Science,Radiology and Radiography,230,200,63.5,71.3,30,-7.8,1,3.8,0
Pharmacy,Doctor of Pharmacy,245,240,60.75,55.0,5,5.75,1,2.8,1
Communications and Media Studies,Pulic Relations,346,150,68.9,55.0,196,13.9,1,3.4,1
Pharmacy,Doctor of Pharmacy,247,240,48.05,55.0,7,-6.95,1,2.2,0
Arts, English and Literary Studies,207,150,46.05,55.0,57,-8.95,1,3.0,0
Education,Physics Education,181,150,59.15,53.6,31,5.55,1,4.4,1
Communications and Media Studies,Journalism,222,150,51.3,64.0,72,-12.7,1,3.6,0
Engineering,Electrical and Electronics Engineering,270,200,58.5,63.3,70,-4.8,1,3.6,0
Agriculture,Crop Science and Horticulture,205,150,49.75,57.3,55,-7.55,1,3.8,0
Environmental Design and Management,Urban and Regional Planning,292,150,56.8,56.0,142,0.8,1,2.6,1
Communications and Media Studies,Journalism,172,150,52.8,64.0,22,-11.2,1,3.4,0
Social Sciences,Demography and Social Statistics,280,150,63.0,60.5,130,2.5,1,2.2,1
Agriculture,Food Science and Technology,251,150,57.65,58.0,101,-0.35,1,4.0,0
Law,Law,215,240,54.25,55.0,-25,-0.75,1,4.4,0
Engineering,Meterials and Metallurgical Engineering,182,150,45.3,55.0,32,-9.7,1,3.6,0
Engineering,Mechatronics Engineering,309,220,73.35,65.0,89,8.35,1,3.4,1
Law,Law,142,240,36.3,55.0,-98,-18.7,1,3.0,0
Engineering,Mechanical Engineering,221,200,52.15,65.0,21,-12.85,1,3.8,0
Basic Medical Science,Anatomy,350,180,81.5,63.3,170,18.2,1,3.8,1
Communications and Media Studies,Journalism,293,150,59.95,64.0,143,-4.05,1,3.2,0
Law,Law,347,240,76.05,55.0,107,21.05,1,2.8,1
Pharmacy,Doctor of Pharmacy,291,240,55.65,55.0,51,0.65,1,2.4,1
Science,Biochemistry,255,180,49.25,63.75,75,-14.5,1,2.2,0
Basic Medical Science,Nursing Science,261,150,58.15,55.0,111,3.15,1,3.8,1
Law,Law,164,240,53.6,55.0,-76,-1.4,1,3.8,0
Management Sciences,Public Administration,262,160,70.3,55.0,102,15.3,1,4.2,1
Engineering,Computer Engineering,252,200,57.8,64.3,52,-6.5,1,4.0,0
Communications and Media Studies,Mass Communication,344,220,66.6,66.3,124,0.3,1,3.0,1
College of Medicine,Medicine and Surgery,179,260,54.85,55.0,-81,-0.15,1,5.6,0
Science,Microbiology,305,180,74.75,65.75,125,9.0,1,3.8,1
College of Medicine,Medicine and Surgery,183,260,37.45,55.0,-77,-17.55,1,2.0,0
Communications and Media Studies,Mass Communication,248,220,68.2,66.3,28,1.9,1,4.2,1
Agriculture,Animal Production and Health,310,150,76.5,61.3,160,15.2,1,4.0,1
Law,Law,285,240,55.75,55.0,45,0.75,1,2.6,1
Basic Medical Science,Radiology and Radiography,287,200,59.05,71.3,87,-12.25,1,3.2,0
Environmental Design and Management,Quantity Surveying,218,170,61.7,60.5,48,1.2,1,5.8,1
Pharmacy,Doctor of Pharmacy,142,240,45.3,55.0,-98,-9.7,1,2.8,0
Law,Law,316,240,72.4,55.0,76,17.4,1,5.0,1
Agriculture,Food Science and Technology,321,150,80.15,58.0,171,22.15,1,4.4,1
College of Medicine,Medicine and Surgery,207,260,59.05,55.0,-53,4.05,1,3.6,0
Engineering,Electrical and Electronics Engineering,234,200,51.1,63.3,34,-12.2,1,3.2,0
Environmental Design and Management,Quantity Surveying,167,170,43.05,60.5,-3,-17.45,1,3.6,0
Education,Biology Education,174,150,51.1,55.0,24,-3.9,1,3.0,0
Arts,History and International Studies,294,180,73.1,67.8,114,5.3,1,3.8,1
Management Sciences,Public Administration,345,160,83.75,55.0,185,28.75,1,4.4,1
Science,Biochemistry,165,180,47.75,63.75,-15,-16.0,1,4.6,0
Social Sciences,Sociology,261,160,63.15,63.95,101,-0.8,1,4.8,0
Education,Guidance and Counselling,220,150,54.0,59.05,70,-5.05,1,4.2,0
Engineering,Mechatronics Engineering,214,220,54.1,65.0,-6,-10.9,1,2.4,0
Management Sciences,Finance,189,160,48.35,55.0,29,-6.65,1,4.0,0
Environmental Design and Management,Quantity Surveying,348,170,70.2,60.5,178,9.7,1,3.6,1
Education,Human Kinetics,303,150,77.45,54.9,153,22.55,1,4.4,1
Agriculture,Food Science and Technology,299,150,71.85,58.0,149,13.85,1,3.4,1
Science,Physics,333,150,75.95,56.5,183,19.45,1,3.2,1
Arts, English and Literary Studies,145,150,40.75,55.0,-5,-14.25,1,3.8,0
Education,Biology Education,274,150,56.1,55.0,124,1.1,1,3.0,1
Social Sciences,Geography,252,150,55.8,55.0,102,0.8,1,3.6,1
Basic Medical Science,Anatomy,267,180,64.05,63.3,87,0.75,1,2.8,1
Management Sciences,Finance,226,160,58.9,55.0,66,3.9,1,3.0,1
College of Medicine,Medicine and Surgery,155,260,37.25,55.0,-105,-17.75,1,2.8,0
College of Medicine,Medicine and Surgery,214,260,58.1,55.0,-46,3.1,1,3.2,0
Science,Biochemistry,214,180,51.1,63.75,34,-12.65,1,1.8,0
Environmental Design and Management,Urban and Regional Planning,242,150,63.3,56.0,92,7.3,1,3.4,1
Management Sciences,Business Administration,245,200,59.75,55.0,45,4.75,1,2.6,1
Pharmacy,Doctor of Pharmacy,222,240,52.3,55.0,-18,-2.7,1,3.8,0
Law,Law,319,240,56.85,55.0,79,1.85,1,1.8,1
Education,Chemistry Education,250,150,63.5,55.0,100,8.5,1,3.2,1
Arts,Linguistics and Language,152,150,38.8,55.0,2,-16.2,1,3.2,0
College of Medicine,Medicine and Surgery,192,260,55.8,55.0,-68,0.8,1,3.4,0
Arts, English and Literary Studies,341,150,76.15,55.0,191,21.15,1,3.0,1
Arts,Linguistics and Language,221,150,67.15,55.0,71,12.15,1,4.8,1
Engineering,Meterials and Metallurgical Engineering,202,150,51.3,55.0,52,-3.7,1,2.2,0
Engineering,Agricultural and Bio-Resources Engineering,173,160,42.95,55.0,13,-12.05,1,3.4,0
Pharmacy,Doctor of Pharmacy,312,240,61.8,55.0,72,6.8,1,3.0,1
College of Medicine,Medicine and Surgery,160,260,54.0,55.0,-100,-1.0,1,4.0,0
Education,Health Education,337,150,68.55,57.95,187,10.6,1,3.6,1
Arts,Theatre and Media Arts,344,200,75.6,65.8,144,9.8,1,4.8,1
Pharmacy,Doctor of Pharmacy,156,240,38.4,55.0,-84,-16.6,1,3.0,0
College of Medicine,Medicine and Surgery,261,260,58.15,55.0,1,3.15,1,3.8,1
Management Sciences,Accounting,253,200,55.95,55.0,53,0.95,1,3.6,1
Management Sciences,Business Administration,180,200,51.0,55.0,-20,-4.0,1,2.8,0
Arts,Theatre and Media Arts,301,200,58.15,65.8,101,-7.65,1,2.6,0
Social Sciences,Demography and Social Statistics,258,150,53.7,60.5,108,-6.8,1,3.0,0
Basic Medical Science,Nursing Science,340,150,67.0,55.0,190,12.0,1,3.2,1
Management Sciences,Public Administration,271,160,58.65,55.0,111,3.65,1,3.6,1
Environmental Design and Management,Architecture,145,210,42.75,66.25,-65,-23.5,1,4.2,0
Arts, English and Literary Studies,212,150,50.8,55.0,62,-4.2,1,3.8,0
Basic Medical Science,Radiology and Radiography,165,200,40.75,71.3,-35,-30.55,1,3.2,0
Engineering,Agricultural and Bio-Resources Engineering,305,160,69.75,55.0,145,14.75,1,2.8,1
Education,Library and Information Science,297,150,73.55,64.5,147,9.05,1,3.8,1
Environmental Design and Management,Urban and Regional Planning,274,150,68.1,56.0,124,12.1,1,3.4,1
Environmental Design and Management,Quantity Surveying,328,170,63.2,60.5,158,2.7,1,2.8,1
College of Medicine,Medicine and Surgery,229,260,49.35,55.0,-31,-5.65,1,3.0,0
Engineering,Agricultural and Bio-Resources Engineering,147,160,37.05,55.0,-13,-17.95,1,3.0,0
Social Sciences,Demography and Social Statistics,269,150,58.35,60.5,119,-2.15,1,3.6,0
Pharmacy,Doctor of Pharmacy,172,240,54.8,55.0,-68,-0.2,1,3.8,0
Education,Human Kinetics,279,150,69.85,54.9,129,14.95,1,3.6,1
Science,Mathematics,269,150,55.35,55.5,119,-0.15,1,3.0,0
Management Sciences,Finance,201,160,57.15,55.0,41,2.15,1,3.4,1
Communications and Media Studies,Pulic Relations,141,150,38.15,55.0,-9,-16.85,1,3.4,0
Management Sciences,Finance,192,160,50.8,55.0,32,-4.2,1,4.4,0
Communications and Media Studies,Broadcasting,227,150,60.05,64.0,77,-3.95,1,3.2,0
Pharmacy,Doctor of Pharmacy,249,240,66.35,55.0,9,11.35,1,3.8,1
Arts,History and International Studies,290,180,59.5,67.8,110,-8.3,1,3.2,0
Management Sciences,Finance,241,160,63.15,55.0,81,8.15,1,3.4,1
Education,Human Kinetics,287,150,69.05,54.9,137,14.15,1,3.2,1
Management Sciences,Business Administration,158,200,44.7,55.0,-42,-10.3,1,4.2,0
Pharmacy,Doctor of Pharmacy,348,240,66.2,55.0,108,11.2,1,2.8,1
Management Sciences,Accounting,174,200,39.1,55.0,-26,-15.9,1,2.6,0
Agriculture,Hospitality and Tourism Management,207,150,58.05,58.45,57,-0.4,1,3.4,0
Science,Statistics,276,150,68.4,54.5,126,13.9,1,3.4,1
Communications and Media Studies,Journalism,190,150,48.5,64.0,40,-15.5,1,4.0,0
Science,Biochemistry,157,180,34.55,63.75,-23,-29.2,1,2.2,0
Education,Physics Education,188,150,55.2,53.6,38,1.6,1,3.4,1
Science,Physics,285,150,71.75,56.5,135,15.25,1,3.8,1
Education,Biology Education,309,150,69.35,55.0,159,14.35,1,2.6,1
Arts, English and Literary Studies,236,150,60.4,55.0,86,5.4,1,3.0,1
Basic Medical Science,Nursing Science,193,150,57.95,55.0,43,2.95,1,3.8,1
Management Sciences,Accounting,349,200,86.35,55.0,149,31.35,1,4.8,1
Science,Microbiology,140,180,45.0,65.75,-40,-20.75,1,2.8,0
Education,Chemistry Education,184,150,41.6,55.0,34,-13.4,1,2.8,0
Social Sciences,Psychology,236,150,45.4,64.5,86,-19.1,1,2.0,0
Law,Law,253,240,65.95,55.0,13,10.95,1,3.6,1
Management Sciences,Public Administration,339,160,71.85,55.0,179,16.85,1,4.2,1
Social Sciences,Economics,151,180,43.65,63.75,-29,-20.1,1,4.2,0
Social Sciences,Geography,229,150,44.35,55.0,79,-10.65,1,2.0,0
Agriculture,Animal Production and Health,278,150,61.7,61.3,128,0.4,1,4.0,1
Basic Medical Science,Nursing Science,187,150,50.05,55.0,37,-4.95,1,2.4,0
Management Sciences,Finance,279,160,56.85,55.0,119,1.85,1,3.0,1
Communications and Media Studies,Broadcasting,205,150,51.75,64.0,55,-12.25,1,2.2,0
Education,Guidance and Counselling,314,150,68.1,59.05,164,9.05,1,2.2,1
Engineering,Meterials and Metallurgical Engineering,278,150,63.7,55.0,128,8.7,1,4.4,1
Management Sciences,Business Administration,256,200,63.4,55.0,56,8.4,1,3.0,1
Agriculture,Soil Science and Land Resources Management,243,150,51.45,55.0,93,-3.55,1,3.0,0
Communications and Media Studies,Mass Communication,240,220,53.0,66.3,20,-13.3,1,3.4,0
Environmental Design and Management,Estate Management,191,160,44.65,57.5,31,-12.85,1,3.2,0
Communications and Media Studies,Journalism,278,150,57.7,64.0,128,-6.3,1,3.2,0
Environmental Design and Management,Architecture,275,210,61.25,66.25,65,-5.0,1,4.0,0
Basic Medical Science,Anatomy,158,180,48.7,63.3,-22,-14.6,1,3.0,0
Communications and Media Studies,Mass Communication,320,220,77.0,66.3,100,10.7,1,3.8,1
Agriculture,Animal Production and Health,142,150,49.3,61.3,-8,-12.0,1,3.6,0
Law,Law,151,240,40.65,55.0,-89,-14.35,1,3.6,0
Environmental Design and Management,Building,260,170,63.0,57.5,90,5.5,1,2.8,1
Science,Statistics,254,150,59.1,54.5,104,4.6,1,2.2,1
Pharmacy,Doctor of Pharmacy,154,240,39.1,55.0,-86,-15.9,1,3.2,0
Social Sciences,Demography and Social Statistics,219,150,45.85,60.5,69,-14.65,1,2.6,0
College of Medicine,Medicine and Surgery,200,260,48.0,55.0,-60,-7.0,1,3.6,0
Pharmacy,Doctor of Pharmacy,180,240,61.0,55.0,-60,6.0,1,4.8,0
Arts,History and International Studies,327,180,65.05,67.8,147,-2.75,1,3.2,0
Arts,Theatre and Media Arts,219,200,56.85,65.8,19,-8.95,1,2.8,0
Arts,Linguistics and Language,250,150,65.5,55.0,100,10.5,1,3.6,1
College of Medicine,Medicine and Surgery,242,260,61.3,55.0,-18,6.3,1,3.0,0
Social Sciences,Demography and Social Statistics,157,150,46.55,60.5,7,-13.95,1,2.6,0
Education,Human Kinetics,264,150,70.6,54.9,114,15.7,1,4.2,1
Engineering,Agricultural and Bio-Resources Engineering,260,160,68.0,55.0,100,13.0,1,3.8,1
Environmental Design and Management,Estate Management,339,160,66.85,57.5,179,9.35,1,3.2,1
Agriculture,Agricultural Economics and Extension,171,150,38.65,57.8,21,-19.15,1,2.6,0
Communications and Media Studies,Journalism,337,150,82.55,64.0,187,18.55,1,4.4,1
Social Sciences,Demography and Social Statistics,302,150,72.3,60.5,152,11.8,1,3.4,1
Law,Law,262,240,66.3,55.0,22,11.3,1,3.4,1
Basic Medical Science,Medical Laboratory Science,261,200,67.15,72.3,61,-5.15,1,3.6,0
Basic Medical Science,Radiology and Radiography,283,200,60.45,71.3,83,-10.85,1,1.6,0
Environmental Design and Management,Estate Management,243,160,66.45,57.5,83,8.95,1,4.0,1
College of Medicine,Medicine and Surgery,241,260,62.15,55.0,-19,7.15,1,3.2,0
Environmental Design and Management,Urban and Regional Planning,288,150,66.2,56.0,138,10.2,1,4.6,1
Social Sciences,Economics,346,180,60.9,63.75,166,-2.85,1,1.8,0
Communications and Media Studies,Mass Communication,256,220,55.4,66.3,36,-10.9,1,3.4,0
Environmental Design and Management,Estate Management,274,160,65.1,57.5,114,7.6,1,2.8,1
College of Medicine,Medicine and Surgery,175,260,53.25,55.0,-85,-1.75,1,3.4,0
Engineering,Computer Engineering,142,200,42.3,64.3,-58,-22.0,1,4.2,0
Environmental Design and Management,Building,204,170,61.6,57.5,34,4.1,1,4.2,1
Law,Law,192,240,47.8,55.0,-48,-7.2,1,3.8,0
College of Medicine,Medicine and Surgery,197,260,55.55,55.0,-63,0.55,1,5.2,0
Pharmacy,Doctor of Pharmacy,301,240,74.15,55.0,61,19.15,1,3.8,1
Engineering,Computer Engineering,218,200,51.7,64.3,18,-12.6,1,3.8,0
Management Sciences,Public Administration,349,160,80.35,55.0,189,25.35,1,3.6,1
Pharmacy,Doctor of Pharmacy,228,240,50.2,55.0,-12,-4.8,1,3.2,0
Communications and Media Studies,Broadcasting,275,150,50.25,64.0,125,-13.75,1,1.8,0
Science,Physics,328,150,80.2,56.5,178,23.7,1,4.2,1
Education,Chemistry Education,336,150,69.4,55.0,186,14.4,1,3.8,1
Science,Biochemistry,231,180,57.65,63.75,51,-6.1,1,4.6,0
Social Sciences,Criminology and Security Studies,247,200,72.05,55.0,47,17.05,1,5.0,1
Communications and Media Studies,Journalism,175,150,56.25,64.0,25,-7.75,1,4.0,0
Communications and Media Studies,Mass Communication,172,220,54.8,66.3,-48,-11.5,1,3.8,0
Arts,History and International Studies,330,180,80.5,67.8,150,12.7,1,4.2,1
Pharmacy,Doctor of Pharmacy,291,240,58.65,55.0,51,3.65,1,3.0,1
Science,Chemistry,143,150,44.45,62.5,-7,-18.05,1,4.6,0
Communications and Media Studies,Pulic Relations,177,150,41.55,55.0,27,-13.45,1,3.0,0
Pharmacy,Doctor of Pharmacy,316,240,71.4,55.0,76,16.4,1,4.8,1
Management Sciences,Public Administration,281,160,64.15,55.0,121,9.15,1,4.4,1
Management Sciences,Finance,321,160,81.15,55.0,161,26.15,1,4.6,1
Pharmacy,Doctor of Pharmacy,320,240,69.0,55.0,80,14.0,1,4.2,1
Basic Medical Science,Radiology and Radiography,281,200,66.15,71.3,81,-5.15,1,2.8,0
Education,Mathematics Education,283,150,66.45,55.5,133,10.95,1,2.8,1
Agriculture,Animal Production and Health,240,150,61.0,61.3,90,-0.3,1,3.0,0
Management Sciences,Accounting,308,200,62.2,55.0,108,7.2,1,3.2,1
Education,Human Kinetics,173,150,58.95,54.9,23,4.05,1,4.6,1
Science,Botany,248,150,66.2,53.5,98,12.7,1,3.8,1
Agriculture,Hospitality and Tourism Management,248,150,59.2,58.45,98,0.75,1,4.4,1
Basic Medical Science,Medical Laboratory Science,299,200,70.85,72.3,99,-1.45,1,3.2,0
Environmental Design and Management,Building,323,170,63.45,57.5,153,5.95,1,3.0,1
Management Sciences,Public Administration,292,160,63.8,55.0,132,8.8,1,4.0,1
Basic Medical Science,Nursing Science,320,150,79.0,55.0,170,24.0,1,4.2,1
Education,Human Kinetics,265,150,64.75,54.9,115,9.85,1,5.0,1
Basic Medical Science,Anatomy,196,180,51.4,63.3,16,-11.9,1,2.4,0
College of Medicine,Medicine and Surgery,310,260,72.5,55.0,50,17.5,1,3.2,1
College of Medicine,Medicine and Surgery,322,260,63.3,55.0,62,8.3,1,3.0,1
Communications and Media Studies,Broadcasting,229,150,52.35,64.0,79,-11.65,1,3.6,0
Social Sciences,Demography and Social Statistics,301,150,58.15,60.5,151,-2.35,1,2.6,0
Basic Medical Science,Physiology,156,180,41.4,61.5,-24,-20.1,1,3.6,0
Communications and Media Studies,Broadcasting,323,150,62.45,64.0,173,-1.55,1,2.8,0
Law,Law,172,240,46.8,55.0,-68,-8.2,1,4.2,0
Arts,Theatre and Media Arts,171,200,58.65,65.8,-29,-7.15,1,4.6,0
Basic Medical Science,Physiology,277,180,57.55,61.5,97,-3.95,1,3.2,0
Law,Law,181,240,47.15,55.0,-59,-7.85,1,4.0,0
Education,Biology Education,310,150,75.5,55.0,160,20.5,1,3.8,1
Education,Mathematics Education,175,150,45.25,55.5,25,-10.25,1,3.8,0
Law,Law,278,240,77.7,55.0,38,22.7,1,5.2,1
Management Sciences,Business Administration,141,200,43.15,55.0,-59,-11.85,1,4.4,0
College of Medicine,Medicine and Surgery,338,260,81.7,55.0,78,26.7,1,4.2,1
Basic Medical Science,Anatomy,218,180,44.7,63.3,38,-18.6,1,2.4,0
Science,Geology,261,150,66.15,59.5,111,6.65,1,3.4,1
Management Sciences,Business Administration,318,200,81.7,55.0,118,26.7,1,4.8,1
Law,Law,266,240,58.9,55.0,26,3.9,1,3.8,1
Science,Mathematics,301,150,63.15,55.5,151,7.65,1,3.6,1
Pharmacy,Doctor of Pharmacy,186,240,45.9,55.0,-54,-9.1,1,3.6,0
Environmental Design and Management,Urban and Regional Planning,211,150,41.65,56.0,61,-14.35,1,2.0,0
Science,Geology,336,150,76.4,59.5,186,16.9,1,3.2,1
Engineering,Electrical and Electronics Engineering,255,200,63.25,63.3,55,-0.05,1,3.0,0
College of Medicine,Medicine and Surgery,278,260,60.7,55.0,18,5.7,1,3.8,1
Arts, English and Literary Studies,348,150,82.2,55.0,198,27.2,1,4.0,1
Communications and Media Studies,Broadcasting,290,150,69.5,64.0,140,5.5,1,5.2,1
College of Medicine,Medicine and Surgery,308,260,76.2,55.0,48,21.2,1,4.0,1
Science,Biochemistry,255,180,51.25,63.75,75,-12.5,1,2.6,0
Law,Law,226,240,51.9,55.0,-14,-3.1,1,3.6,0
Science,Computer Science,281,200,62.15,65.3,81,-3.15,1,4.0,0
Arts, English and Literary Studies,248,150,64.2,55.0,98,9.2,1,3.4,1
Communications and Media Studies,Pulic Relations,325,150,80.75,55.0,175,25.75,1,4.4,1
Science,Geology,164,150,44.6,59.5,14,-14.9,1,4.0,0
